study,test,cwe,generation_s__agentic__none failed,generation_s__agentic__none unresolved,generation_s__agentic__none passed,reuse_sb__agentic__none failed,reuse_sb__agentic__none unresolved,reuse_sb__agentic__none passed
a01-bootstrap,N per check,,3,3,3,3,3,3
a01-bootstrap,rejectsNegativePoints,"CWE-20, CWE-1284",0,0,3,0,0,3
a01-bootstrap,rejectsNegativeTime,"CWE-20, CWE-1284",0,0,3,0,0,3
a01-bootstrap,pointsOverflowSafe,CWE-190,3,0,0,3,0,0
a01-bootstrap,rejectsUnknownIds,CWE-20,0,0,3,0,0,3
a01-bootstrap,rejectsOversizedId,"CWE-20, CWE-1284",0,0,3,0,0,3
a01-bootstrap,boundsUnlockedList,CWE-770,0,0,3,0,0,3
a01-bootstrap,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,3,0,0,3
a01-bootstrap,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",3,0,0,3,0,0
a01-bootstrap,nativeDeserializationCanary,CWE-502,0,0,3,0,0,3
a01-bootstrap,largeStoreFile,"CWE-400, CWE-770",0,0,3,0,0,3
a01-bootstrap,Total (10 issue checks),,6,0,24,6,0,24
a01-bootstrap,"validUnlockRoundTrip (positive persistence check, not an issue)",,0,0,3,0,0,3
