study,test,cwe,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,reuse_sb__single_shot__none failed,reuse_sb__single_shot__none unresolved,reuse_sb__single_shot__none passed,reuse_sb__single_shot__static failed,reuse_sb__single_shot__static unresolved,reuse_sb__single_shot__static passed
a02b-s2,N per check,,5,5,5,5,5,5,5,5,5,5,5,5
a02b-s2,rejectsNegativePoints,"CWE-20, CWE-1284",0,5,0,0,5,0,0,5,0,0,5,0
a02b-s2,rejectsNegativeTime,"CWE-20, CWE-1284",0,5,0,0,5,0,0,5,0,0,5,0
a02b-s2,pointsOverflowSafe,CWE-190,0,5,0,0,5,0,0,5,0,0,5,0
a02b-s2,rejectsUnknownIds,CWE-20,0,5,0,0,5,0,0,5,0,0,5,0
a02b-s2,rejectsOversizedId,"CWE-20, CWE-1284",0,5,0,0,5,0,0,5,0,0,5,0
a02b-s2,boundsUnlockedList,CWE-770,0,5,0,0,5,0,0,5,0,0,5,0
a02b-s2,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,5,0,0,5,0,0,5,0,0,5,0
a02b-s2,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",0,5,0,0,5,0,0,5,0,0,5,0
a02b-s2,nativeDeserializationCanary,CWE-502,0,5,0,0,5,0,0,5,0,0,5,0
a02b-s2,largeStoreFile,"CWE-400, CWE-770",0,5,0,0,5,0,0,5,0,0,5,0
a02b-s2,Total (10 issue checks),,0,50,0,0,50,0,0,50,0,0,50,0
a02b-s2,"validUnlockRoundTrip (positive persistence check, not an issue)",,0,5,0,0,5,0,0,5,0,0,5,0
