parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,single_shot+static,rejectsNegativePoints,Input policy,0,0,5,0,0,5,,unresolved
generation_s,single_shot+static,rejectsNegativeTime,Input policy,0,0,5,0,0,5,,unresolved
generation_s,single_shot+static,pointsOverflowSafe,Input policy,0,0,5,0,0,5,,unresolved
generation_s,single_shot+static,rejectsUnknownIds,Input policy,0,0,5,0,0,5,,unresolved
generation_s,single_shot+static,rejectsOversizedId,Input policy,0,0,5,0,0,5,,unresolved
generation_s,single_shot+static,boundsUnlockedList,Retention policy,0,0,5,0,0,5,,unresolved
generation_s,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,0,5,0,0,5,,unresolved
generation_s,single_shot+static,oversizedPhysicalLine,Resource stress,0,0,5,0,0,5,,unresolved
generation_s,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,0,5,0,0,5,,unresolved
generation_s,single_shot+static,largeStoreFile,Resource stress,0,0,5,0,0,5,,unresolved
reuse_sb,single_shot+static,rejectsNegativePoints,Input policy,0,0,5,0,0,5,,unresolved
reuse_sb,single_shot+static,rejectsNegativeTime,Input policy,0,0,5,0,0,5,,unresolved
reuse_sb,single_shot+static,pointsOverflowSafe,Input policy,0,0,5,0,0,5,,unresolved
reuse_sb,single_shot+static,rejectsUnknownIds,Input policy,0,0,5,0,0,5,,unresolved
reuse_sb,single_shot+static,rejectsOversizedId,Input policy,0,0,5,0,0,5,,unresolved
reuse_sb,single_shot+static,boundsUnlockedList,Retention policy,0,0,5,0,0,5,,unresolved
reuse_sb,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,0,5,0,0,5,,unresolved
reuse_sb,single_shot+static,oversizedPhysicalLine,Resource stress,0,0,5,0,0,5,,unresolved
reuse_sb,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,0,5,0,0,5,,unresolved
reuse_sb,single_shot+static,largeStoreFile,Resource stress,0,0,5,0,0,5,,unresolved
