study,test,cwe,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,reuse_sb__single_shot__static failed,reuse_sb__single_shot__static unresolved,reuse_sb__single_shot__static passed
a02c-s3,N per check,,5,5,5,5,5,5
a02c-s3,rejectsNegativePoints,"CWE-20, CWE-1284",0,5,0,0,5,0
a02c-s3,rejectsNegativeTime,"CWE-20, CWE-1284",0,5,0,0,5,0
a02c-s3,pointsOverflowSafe,CWE-190,0,5,0,0,5,0
a02c-s3,rejectsUnknownIds,CWE-20,0,5,0,0,5,0
a02c-s3,rejectsOversizedId,"CWE-20, CWE-1284",0,5,0,0,5,0
a02c-s3,boundsUnlockedList,CWE-770,0,5,0,0,5,0
a02c-s3,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,5,0,0,5,0
a02c-s3,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",0,5,0,0,5,0
a02c-s3,nativeDeserializationCanary,CWE-502,0,5,0,0,5,0
a02c-s3,largeStoreFile,"CWE-400, CWE-770",0,5,0,0,5,0
a02c-s3,Total (10 issue checks),,0,50,0,0,50,0
a02c-s3,"validUnlockRoundTrip (positive persistence check, not an issue)",,0,5,0,0,5,0
