study,test,cwe,generation_s__agentic__none failed,generation_s__agentic__none unresolved,generation_s__agentic__none passed,reuse_sb__agentic__none failed,reuse_sb__agentic__none unresolved,reuse_sb__agentic__none passed
a03a-none,N per check,,5,5,5,5,5,5
a03a-none,rejectsNegativePoints,"CWE-20, CWE-1284",1,1,3,1,0,4
a03a-none,rejectsNegativeTime,"CWE-20, CWE-1284",0,1,4,0,0,5
a03a-none,pointsOverflowSafe,CWE-190,4,1,0,5,0,0
a03a-none,rejectsUnknownIds,CWE-20,0,1,4,0,0,5
a03a-none,rejectsOversizedId,"CWE-20, CWE-1284",0,1,4,0,0,5
a03a-none,boundsUnlockedList,CWE-770,0,1,4,0,0,5
a03a-none,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,1,4,0,0,5
a03a-none,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",4,1,0,5,0,0
a03a-none,nativeDeserializationCanary,CWE-502,0,1,4,0,0,5
a03a-none,largeStoreFile,"CWE-400, CWE-770",0,1,4,0,0,5
a03a-none,Total (10 issue checks),,9,10,31,11,0,39
a03a-none,"validUnlockRoundTrip (positive persistence check, not an issue)",,0,1,4,0,0,5
