study,test,cwe,generation_s__agentic__static failed,generation_s__agentic__static unresolved,generation_s__agentic__static passed,reuse_sb__agentic__static failed,reuse_sb__agentic__static unresolved,reuse_sb__agentic__static passed
a03b-s1,N per check,,5,5,5,5,5,5
a03b-s1,rejectsNegativePoints,"CWE-20, CWE-1284",0,1,4,0,2,3
a03b-s1,rejectsNegativeTime,"CWE-20, CWE-1284",0,1,4,0,2,3
a03b-s1,pointsOverflowSafe,CWE-190,0,1,4,0,2,3
a03b-s1,rejectsUnknownIds,CWE-20,0,1,4,0,2,3
a03b-s1,rejectsOversizedId,"CWE-20, CWE-1284",0,1,4,0,2,3
a03b-s1,boundsUnlockedList,CWE-770,0,1,4,0,2,3
a03b-s1,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,1,4,0,2,3
a03b-s1,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",1,1,3,2,2,1
a03b-s1,nativeDeserializationCanary,CWE-502,0,1,4,0,2,3
a03b-s1,largeStoreFile,"CWE-400, CWE-770",0,1,4,0,2,3
a03b-s1,Total (10 issue checks),,1,10,39,2,20,28
a03b-s1,"validUnlockRoundTrip (positive persistence check, not an issue)",,0,1,4,0,2,3
