study,test,cwe,generation_s__agentic__static failed,generation_s__agentic__static unresolved,generation_s__agentic__static passed,reuse_sb__agentic__static failed,reuse_sb__agentic__static unresolved,reuse_sb__agentic__static passed
a03c-s2,N per check,,5,5,5,5,5,5
a03c-s2,rejectsNegativePoints,"CWE-20, CWE-1284",0,0,5,0,0,5
a03c-s2,rejectsNegativeTime,"CWE-20, CWE-1284",0,0,5,0,0,5
a03c-s2,pointsOverflowSafe,CWE-190,0,0,5,2,0,3
a03c-s2,rejectsUnknownIds,CWE-20,0,0,5,0,0,5
a03c-s2,rejectsOversizedId,"CWE-20, CWE-1284",0,0,5,0,0,5
a03c-s2,boundsUnlockedList,CWE-770,0,0,5,0,0,5
a03c-s2,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5
a03c-s2,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",0,0,5,3,0,2
a03c-s2,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5
a03c-s2,largeStoreFile,"CWE-400, CWE-770",0,0,5,0,0,5
a03c-s2,Total (10 issue checks),,0,0,50,5,0,45
a03c-s2,"validUnlockRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5
