study,test,cwe,generation_s__agentic__static failed,generation_s__agentic__static unresolved,generation_s__agentic__static passed,reuse_sb__agentic__static failed,reuse_sb__agentic__static unresolved,reuse_sb__agentic__static passed
a03d-s3,N per check,,5,5,5,5,5,5
a03d-s3,rejectsNegativePoints,"CWE-20, CWE-1284",0,1,4,0,2,3
a03d-s3,rejectsNegativeTime,"CWE-20, CWE-1284",0,1,4,0,2,3
a03d-s3,pointsOverflowSafe,CWE-190,2,1,2,0,2,3
a03d-s3,rejectsUnknownIds,CWE-20,0,1,4,0,2,3
a03d-s3,rejectsOversizedId,"CWE-20, CWE-1284",0,1,4,0,2,3
a03d-s3,boundsUnlockedList,CWE-770,0,1,4,0,2,3
a03d-s3,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,1,4,0,2,3
a03d-s3,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",2,1,2,0,2,3
a03d-s3,nativeDeserializationCanary,CWE-502,0,1,4,0,2,3
a03d-s3,largeStoreFile,"CWE-400, CWE-770",0,1,4,0,2,3
a03d-s3,Total (10 issue checks),,4,10,36,0,20,30
a03d-s3,"validUnlockRoundTrip (positive persistence check, not an issue)",,0,1,4,0,2,3
