study,test,cwe,generation_s__agentic__static-guard failed,generation_s__agentic__static-guard unresolved,generation_s__agentic__static-guard passed,reuse_sb__agentic__static-guard failed,reuse_sb__agentic__static-guard unresolved,reuse_sb__agentic__static-guard passed
a03e-guard,N per check,,5,5,5,5,5,5
a03e-guard,rejectsNegativePoints,"CWE-20, CWE-1284",0,3,2,0,1,4
a03e-guard,rejectsNegativeTime,"CWE-20, CWE-1284",0,3,2,0,1,4
a03e-guard,pointsOverflowSafe,CWE-190,0,3,2,3,1,1
a03e-guard,rejectsUnknownIds,CWE-20,0,3,2,0,1,4
a03e-guard,rejectsOversizedId,"CWE-20, CWE-1284",0,3,2,0,1,4
a03e-guard,boundsUnlockedList,CWE-770,0,3,2,0,1,4
a03e-guard,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,3,2,0,1,4
a03e-guard,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",1,3,1,2,1,2
a03e-guard,nativeDeserializationCanary,CWE-502,0,3,2,0,1,4
a03e-guard,largeStoreFile,"CWE-400, CWE-770",0,3,2,0,1,4
a03e-guard,Total (10 issue checks),,1,30,19,5,10,35
a03e-guard,"validUnlockRoundTrip (positive persistence check, not an issue)",,0,3,2,0,1,4
