study,test,cwe,reuse_sb__agentic__none failed,reuse_sb__agentic__none unresolved,reuse_sb__agentic__none passed,reuse_sb__agentic__static failed,reuse_sb__agentic__static unresolved,reuse_sb__agentic__static passed
a04-reuse,N per check,,5,5,5,5,5,5
a04-reuse,rejectsNegativePoints,"CWE-20, CWE-1284",0,2,3,0,1,4
a04-reuse,rejectsNegativeTime,"CWE-20, CWE-1284",0,2,3,0,1,4
a04-reuse,pointsOverflowSafe,CWE-190,3,2,0,3,1,1
a04-reuse,rejectsUnknownIds,CWE-20,0,2,3,0,1,4
a04-reuse,rejectsOversizedId,"CWE-20, CWE-1284",0,2,3,0,1,4
a04-reuse,boundsUnlockedList,CWE-770,0,2,3,0,1,4
a04-reuse,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,2,3,0,1,4
a04-reuse,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",3,2,0,2,1,2
a04-reuse,nativeDeserializationCanary,CWE-502,0,2,3,0,1,4
a04-reuse,largeStoreFile,"CWE-400, CWE-770",0,2,3,0,1,4
a04-reuse,Total (10 issue checks),,6,20,24,5,10,35
a04-reuse,"validUnlockRoundTrip (positive persistence check, not an issue)",,0,2,3,0,1,4
