parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
reuse_sb,agentic+static,rejectsNegativePoints,Input policy,0,3,2,0,4,1,,unresolved
reuse_sb,agentic+static,rejectsNegativeTime,Input policy,0,3,2,0,4,1,,unresolved
reuse_sb,agentic+static,pointsOverflowSafe,Input policy,3,3,2,3,4,1,,unresolved
reuse_sb,agentic+static,rejectsUnknownIds,Input policy,0,3,2,0,4,1,,unresolved
reuse_sb,agentic+static,rejectsOversizedId,Input policy,0,3,2,0,4,1,,unresolved
reuse_sb,agentic+static,boundsUnlockedList,Retention policy,0,3,2,0,4,1,,unresolved
reuse_sb,agentic+static,malformedStoreDoesNotCrash,Parser robustness,0,3,2,0,4,1,,unresolved
reuse_sb,agentic+static,oversizedPhysicalLine,Resource stress,3,3,2,2,4,1,,unresolved
reuse_sb,agentic+static,nativeDeserializationCanary,Deserialization dispatch,0,3,2,0,4,1,,unresolved
reuse_sb,agentic+static,largeStoreFile,Resource stress,0,3,2,0,4,1,,unresolved
