record,version,angle,method,status,commands,minutes,inputTokens,cachedInputTokens,outputTokens,reasoningTokens,items
agent-318ed121d6f1413a90b90d7822f34d9e,v10,dataflow,Generation,settings_unverified,30,6.4,901865,783872,20164,1452,20
agent-73bbc79a09ce40b9935b93a42e734488,v10,dataflow,Generation,settings_unverified,48,4.2,387965,292096,13227,1161,25
agent-ce94112ab1ca438ca54b7a60bc77de33,v10,dataflow,Generation,settings_unverified,24,4.3,760054,643328,12814,1768,25
agent-08dc5006d9534ce78a562d3503742ca7,v10,dataflow,Reuse,settings_unverified,20,3.2,524978,439808,9594,1016,14
agent-19d42897c05a486ca1c47b2dbaecd017,v10,dataflow,Reuse,settings_unverified,22,3.6,696830,593152,10432,1216,15
agent-6d5c6ea5258742f99b2b3a1146d181bb,v10,dataflow,Reuse,settings_unverified,24,2.9,830934,711680,8775,908,13
agent-141f04891dc74723b0e56bb37ab50a11,v10,generic,Generation,settings_unverified,0,0.8,15195,0,2576,387,12
agent-ba5f719f07b04f5f8bf4a60b5940c952,v10,generic,Reuse,settings_unverified,0,0.7,15234,0,1945,186,11
agent-dd37ed97a93f4235bde112027430d551,v10,highlevel,Generation,settings_unverified,12,1.4,289544,216576,3950,693,12
agent-e07d85e25a6341ce91a97a0255f8570e,v10,highlevel,Reuse,settings_unverified,20,1.4,153571,100352,4136,686,13
agent-6feb2b985a7e4236852a543806159f66,v7,catalog,Generation,settings_unverified,52,2.7,529255,439040,8169,1283,7
agent-859774fc8a3f4edfbfb135af41f1381d,v7,catalog,Reuse,settings_unverified,28,2.9,908747,803328,7759,1418,8
agent-3b2861d7d0d041118bfbabf225ff37aa,v7,dataflow,Generation,settings_unverified,60,4.4,695839,573184,12537,1048,19
agent-2460818db48c4ece83361ab6c397ff8a,v7,dataflow,Reuse,settings_unverified,50,4.0,594387,473088,12104,1125,18
agent-9172d49d6bc947ae8e993bf0b74a1348,v7,requirements,Generation,settings_unverified,26,4.3,761729,665344,11934,1580,24
agent-1c3739b807ab4aeea7915949882e8395,v7,requirements,Reuse,settings_unverified,32,4.3,842083,748544,8762,1382,12
agent-e73ba940ca4543ef9b4eb35f195e214e,v9,dataflow,Generation,settings_unverified,48,4.2,666760,535296,12588,982,27
agent-ac1dca9e3c534ebf9217d68d26100af2,v9,dataflow,Reuse,settings_unverified,20,3.4,465668,383488,10507,1205,18
