round,arm,trajectories,calls,inputTokens,cachedInputTokens,outputTokens,reasoningTokens,callSeconds,trajectorySeconds
i01-actionable-context,generation_sfb__boundaries,3,5,868336,0,15116,1759,92.67742799999999,123.949782
i01-actionable-context,generation_sfb__none,3,3,511305,0,8692,933,68.456321,108.31267299999999
i01-actionable-context,generation_sfb__requirements,3,7,1223095,0,14985,2318,101.82390000000001,177.514411
i01-actionable-context,reuse_b__boundaries,3,5,440513,0,11151,2619,96.06787299999999,155.802717
i01-actionable-context,reuse_b__none,3,5,440685,0,11138,2383,98.250386,158.252895
i01-actionable-context,reuse_b__requirements,3,6,536167,0,11998,2483,95.69816999999999,157.799624
i03-security-perspectives,generation_sfb__boundaries,5,10,1739833,0,20936,4041,165.64727500000004,266.772882
i03-security-perspectives,generation_sfb__none,5,6,1025952,0,15316,2129,109.66660500000002,174.743933
i03-security-perspectives,generation_sfb__overview,5,11,1914927,0,25074,5065,197.29286399999998,283.059655
i03-security-perspectives,generation_sfb__requirements,5,5,860035,0,16544,2136,116.88081099999998,165.47884900000003
i03-security-perspectives,reuse_b__boundaries,5,11,993479,0,22936,3319,167.26749500000003,253.684339
i03-security-perspectives,reuse_b__none,5,8,701543,0,16621,2649,123.911123,200.62476600000002
i03-security-perspectives,reuse_b__overview,5,7,626934,0,18343,3808,138.279199,210.42556000000002
i03-security-perspectives,reuse_b__requirements,5,10,898019,0,25470,3846,187.135229,252.335376
i04-matrix-replication,generation_s__boundaries,5,7,565349,0,20530,3106,142.094583,200.654021
i04-matrix-replication,generation_s__none,5,7,550942,0,17698,2327,124.41608599999999,199.249959
i04-matrix-replication,generation_s__overview,5,7,565511,0,18392,3423,131.63922,210.69330100000002
i04-matrix-replication,generation_s__requirements,5,11,894279,0,24908,3649,178.322797,264.653254
i04-matrix-replication,generation_sfb__boundaries,5,9,1568951,0,25803,3227,176.602641,249.97022299999998
i04-matrix-replication,generation_sfb__none,5,6,1026017,0,16249,2215,107.704108,176.309387
i04-matrix-replication,generation_sfb__overview,5,12,2091560,0,21642,4028,180.384911,266.794521
i04-matrix-replication,generation_sfb__requirements,5,11,1914929,0,27967,3468,194.759048,270.962079
i04-matrix-replication,reuse_b__boundaries,5,9,812207,0,18079,3286,135.161353,214.27739700000004
i04-matrix-replication,reuse_b__none,5,11,973136,0,24765,3804,174.964424,250.00280800000002
i04-matrix-replication,reuse_b__overview,5,10,905258,0,22705,4636,183.924195,275.934976
i04-matrix-replication,reuse_b__requirements,5,11,996034,0,22718,4031,168.984462,273.291061
i04-matrix-replication,reuse_sb__boundaries,5,12,1562297,0,28228,2942,191.875759,267.42352200000005
i04-matrix-replication,reuse_sb__none,5,10,1273116,0,24305,3641,163.765112,240.66147899999999
i04-matrix-replication,reuse_sb__overview,5,6,768648,0,18414,2800,126.240272,180.833001
i04-matrix-replication,reuse_sb__requirements,5,11,1427505,0,28571,3303,182.582226,240.363852
i05-budget-sensitivity,generation_s__boundaries,5,13,1072883,0,26639,3908,193.41976999999994,271.34265500000004
i05-budget-sensitivity,generation_s__none,5,10,801687,0,21078,3075,154.60785300000003,222.847304
i05-budget-sensitivity,generation_s__overview,5,14,1162874,0,32670,5348,229.79493899999997,312.999926
i05-budget-sensitivity,generation_s__requirements,5,10,812554,0,23071,4011,164.11973899999998,267.05591
i05-budget-sensitivity,generation_sfb__boundaries,5,6,1038055,0,17745,2889,138.562716,214.084443
i05-budget-sensitivity,generation_sfb__none,5,8,1371972,0,20679,2357,141.560059,213.207401
i05-budget-sensitivity,generation_sfb__overview,5,12,2097123,0,21880,4152,178.261682,278.513443
i05-budget-sensitivity,generation_sfb__requirements,5,13,2274168,0,24663,3850,192.49166599999998,315.29329099999995
i05-budget-sensitivity,reuse_b__boundaries,5,14,1288151,0,30413,4658,221.46831799999998,331.48706300000003
