study,test,cwe,generation_sfb__none failed,generation_sfb__none unresolved,generation_sfb__none passed,generation_sfb__overview failed,generation_sfb__overview unresolved,generation_sfb__overview passed,generation_sfb__requirements failed,generation_sfb__requirements unresolved,generation_sfb__requirements passed,generation_sfb__boundaries failed,generation_sfb__boundaries unresolved,generation_sfb__boundaries passed,reuse_b__none failed,reuse_b__none unresolved,reuse_b__none passed,reuse_b__overview failed,reuse_b__overview unresolved,reuse_b__overview passed,reuse_b__requirements failed,reuse_b__requirements unresolved,reuse_b__requirements passed,reuse_b__boundaries failed,reuse_b__boundaries unresolved,reuse_b__boundaries passed
i03-security-perspectives,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i03-security-perspectives,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,4,1,0,0,0,5,4,0,1,5,0,0,5,0,0,0,0,5,2,0,3
i03-security-perspectives,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,3,1,1,0,0,5,0,0,5,5,0,0,5,0,0,0,0,5,1,0,4
i03-security-perspectives,rejectsNullName,"CWE-20, CWE-476",5,0,0,3,1,1,0,0,5,0,0,5,5,0,0,5,0,0,0,0,5,0,0,5
i03-security-perspectives,rejectsBlankName,CWE-20,5,0,0,4,1,0,0,0,5,0,0,5,5,0,0,5,0,0,0,0,5,0,0,5
i03-security-perspectives,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,4,1,0,0,0,5,3,0,2,5,0,0,5,0,0,0,0,5,0,0,5
i03-security-perspectives,boundsRetainedEntries,CWE-770,0,0,5,0,1,4,0,0,5,0,0,5,2,0,3,2,0,3,4,0,1,0,0,5
i03-security-perspectives,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,1,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i03-security-perspectives,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,4,1,0,3,0,2,3,0,2,5,0,0,5,0,0,4,0,1,5,0,0
i03-security-perspectives,nativeDeserializationCanary,CWE-502,0,0,5,0,1,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i03-security-perspectives,largePersistedRecordSet,"CWE-400, CWE-770",5,0,0,0,5,0,0,4,1,0,2,3,4,1,0,3,2,0,1,4,0,0,1,4
i03-security-perspectives,Total (10 issue checks),,35,0,15,22,14,14,3,4,43,10,2,38,36,1,13,35,2,13,9,4,37,8,1,41
i03-security-perspectives,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,1,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
