condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
generation_sfb__none,generation_sfb,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_sfb__none,generation_sfb,none,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_sfb__none,generation_sfb,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_sfb__none,generation_sfb,none,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_sfb__none,generation_sfb,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_sfb__overview,generation_sfb,overview,Input policy,5,5,4,0,1,0.8,1.0,,,-0.19999999999999996,0.0
generation_sfb__overview,generation_sfb,overview,Retention policy,1,5,0,4,1,0.0,0.2,,,0.0,0.2
generation_sfb__overview,generation_sfb,overview,Parser robustness,1,5,0,4,1,0.0,0.2,,,0.0,0.2
generation_sfb__overview,generation_sfb,overview,Resource stress,2,5,4,0,1,0.8,1.0,,,-0.19999999999999996,0.0
generation_sfb__overview,generation_sfb,overview,Deserialization dispatch,1,5,0,4,1,0.0,0.2,,,0.0,0.2
generation_sfb__requirements,generation_sfb,requirements,Input policy,5,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-1.0,-1.0
generation_sfb__requirements,generation_sfb,requirements,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_sfb__requirements,generation_sfb,requirements,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_sfb__requirements,generation_sfb,requirements,Resource stress,2,5,3,0,2,0.6,1.0,,,-0.4,0.0
generation_sfb__requirements,generation_sfb,requirements,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_sfb__boundaries,generation_sfb,boundaries,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_sfb__boundaries,generation_sfb,boundaries,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_sfb__boundaries,generation_sfb,boundaries,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_sfb__boundaries,generation_sfb,boundaries,Resource stress,2,5,3,2,0,0.6,0.6,0.2307242812760128,0.882379225767352,-0.4,-0.4
generation_sfb__boundaries,generation_sfb,boundaries,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_b__none,reuse_b,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
reuse_b__none,reuse_b,none,Retention policy,1,5,2,3,0,0.4,0.4,0.11762077423264783,0.769275718723987,,
reuse_b__none,reuse_b,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_b__none,reuse_b,none,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
reuse_b__none,reuse_b,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_b__overview,reuse_b,overview,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
reuse_b__overview,reuse_b,overview,Retention policy,1,5,2,3,0,0.4,0.4,0.11762077423264783,0.769275718723987,0.0,0.0
reuse_b__overview,reuse_b,overview,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_b__overview,reuse_b,overview,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
reuse_b__overview,reuse_b,overview,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_b__requirements,reuse_b,requirements,Input policy,5,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-1.0,-1.0
reuse_b__requirements,reuse_b,requirements,Retention policy,1,5,4,1,0,0.8,0.8,0.37553462976252533,0.9637758913675698,0.4,0.4
reuse_b__requirements,reuse_b,requirements,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_b__requirements,reuse_b,requirements,Resource stress,2,5,4,0,1,0.8,1.0,,,-0.19999999999999996,0.0
reuse_b__requirements,reuse_b,requirements,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_b__boundaries,reuse_b,boundaries,Input policy,5,5,2,3,0,0.4,0.4,0.11762077423264783,0.769275718723987,-0.6,-0.6
reuse_b__boundaries,reuse_b,boundaries,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-0.4,-0.4
reuse_b__boundaries,reuse_b,boundaries,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_b__boundaries,reuse_b,boundaries,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
reuse_b__boundaries,reuse_b,boundaries,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
