parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_sfb,overview,rejectsNegativeScore,Input policy,5,5,0,4,4,1,,unresolved
generation_sfb,overview,rejectsNegativeTime,Input policy,5,5,0,3,4,1,,unresolved
generation_sfb,overview,rejectsNullName,Input policy,5,5,0,3,4,1,,unresolved
generation_sfb,overview,rejectsBlankName,Input policy,5,5,0,4,4,1,,unresolved
generation_sfb,overview,rejectsExcessiveName,Input policy,5,5,0,4,4,1,,unresolved
generation_sfb,overview,boundsRetainedEntries,Retention policy,0,5,0,0,4,1,,unresolved
generation_sfb,overview,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,4,1,,unresolved
generation_sfb,overview,oversizedPhysicalLine,Resource stress,5,5,0,4,4,1,,unresolved
generation_sfb,overview,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,4,1,,unresolved
generation_sfb,overview,largePersistedRecordSet,Resource stress,5,5,0,0,0,5,,unresolved
generation_sfb,requirements,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_sfb,requirements,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_sfb,requirements,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_sfb,requirements,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_sfb,requirements,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_sfb,requirements,boundsRetainedEntries,Retention policy,0,5,0,0,5,0,0.0,equal
generation_sfb,requirements,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_sfb,requirements,oversizedPhysicalLine,Resource stress,5,5,0,3,5,0,-0.4,decreased
generation_sfb,requirements,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_sfb,requirements,largePersistedRecordSet,Resource stress,5,5,0,0,1,4,,unresolved
generation_sfb,boundaries,rejectsNegativeScore,Input policy,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_sfb,boundaries,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_sfb,boundaries,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_sfb,boundaries,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_sfb,boundaries,rejectsExcessiveName,Input policy,5,5,0,3,5,0,-0.4,decreased
generation_sfb,boundaries,boundsRetainedEntries,Retention policy,0,5,0,0,5,0,0.0,equal
generation_sfb,boundaries,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_sfb,boundaries,oversizedPhysicalLine,Resource stress,5,5,0,3,5,0,-0.4,decreased
generation_sfb,boundaries,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_sfb,boundaries,largePersistedRecordSet,Resource stress,5,5,0,0,3,2,,unresolved
reuse_b,overview,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
reuse_b,overview,rejectsNegativeTime,Input policy,5,5,0,5,5,0,0.0,equal
reuse_b,overview,rejectsNullName,Input policy,5,5,0,5,5,0,0.0,equal
reuse_b,overview,rejectsBlankName,Input policy,5,5,0,5,5,0,0.0,equal
reuse_b,overview,rejectsExcessiveName,Input policy,5,5,0,5,5,0,0.0,equal
reuse_b,overview,boundsRetainedEntries,Retention policy,2,5,0,2,5,0,0.0,equal
reuse_b,overview,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_b,overview,oversizedPhysicalLine,Resource stress,5,5,0,5,5,0,0.0,equal
reuse_b,overview,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_b,overview,largePersistedRecordSet,Resource stress,4,4,1,3,3,2,,unresolved
reuse_b,requirements,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,requirements,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,requirements,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,requirements,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,requirements,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,requirements,boundsRetainedEntries,Retention policy,2,5,0,4,5,0,0.4,increased
reuse_b,requirements,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_b,requirements,oversizedPhysicalLine,Resource stress,5,5,0,4,5,0,-0.19999999999999996,decreased
reuse_b,requirements,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_b,requirements,largePersistedRecordSet,Resource stress,4,4,1,1,1,4,,unresolved
reuse_b,boundaries,rejectsNegativeScore,Input policy,5,5,0,2,5,0,-0.6,decreased
reuse_b,boundaries,rejectsNegativeTime,Input policy,5,5,0,1,5,0,-0.8,decreased
reuse_b,boundaries,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,boundaries,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,boundaries,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,boundaries,boundsRetainedEntries,Retention policy,2,5,0,0,5,0,-0.4,decreased
reuse_b,boundaries,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
