runId,condition,submission,status,detail,requestSha256
i04-matrix-replication__generation_sfb__requirements__r1,generation_sfb__requirements,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,f7c379f5fd1bb6cc42e04426a7da1bf620aa4151d37efe6da0fff30fb3a8be54
i04-matrix-replication__reuse_b__requirements__r1,reuse_b__requirements,1,invalid_changes,ApoMarioMenu.java: old_text matches 2 times; provide one unique exact anchor,bb1c0a54e8c195172b6eb88997c55e6004a0012bdca9eefd55b4741d1feee2f8
i04-matrix-replication__reuse_sb__none__r1,reuse_sb__none,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,7df7864bb7a4e4d661692a2121f87627899a2a75f5a24165193d3f88809a77a9
i04-matrix-replication__generation_sfb__boundaries__r1,generation_sfb__boundaries,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,8688446f158a69339d486b3d8cbcad79a0047e803141d85ebf50b7a5bab8b1bc
i04-matrix-replication__reuse_sb__requirements__r1,reuse_sb__requirements,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,82895d7246206d2b02b356fa08b87282102be5892f34d4b2d7c77d3e14b064b6
i04-matrix-replication__reuse_sb__requirements__r1,reuse_sb__requirements,2,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,dab0bfa92275f490788180d70d2f55b464e472576f840d52b3b25fafb00b6d41
i04-matrix-replication__generation_s__requirements__r1,generation_s__requirements,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,294903f9fdf58451202580dc091006aab3900ee2b65383bb1f667fd83a01deb1
i04-matrix-replication__generation_s__requirements__r1,generation_s__requirements,2,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,b29445e566bd4fff97f1b4de2bc1486ab66be50391d2d2c6c98a8d23fc66ee2b
i04-matrix-replication__generation_sfb__requirements__r2,generation_sfb__requirements,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,3b88c2c84374e0bccf1fadd84edbcc8cf883bbf3ddb842d48f6d6ea6077dbdbb
i04-matrix-replication__generation_s__none__r2,generation_s__none,1,invalid_changes,"Missing required game integration edits: ApoMarioLevel.java, ApoMarioMenu.java",2bfb0a3529475473fa6df3282efe2fa6505f47181e003f9c059274b661ac83b3
i04-matrix-replication__reuse_b__none__r2,reuse_b__none,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,943185e69a80a2d949198ad659048463015d6f5ee458e693dd58a12e713a8df8
i04-matrix-replication__reuse_b__none__r2,reuse_b__none,2,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,b35e6dd1d2552172d5c1de8a8fc85956ed525214ee75c85ff35bdeb7ed45de25
i04-matrix-replication__reuse_b__overview__r2,reuse_b__overview,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,1847fc97da3056d86b4643d6d0f9dd76e691262cb98333a8e9ec508195ac569e
i04-matrix-replication__reuse_sb__boundaries__r3,reuse_sb__boundaries,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,2dc6e725b0241a958c33cec407ab296e0475b714ae57c82f294d72770714c795
i04-matrix-replication__reuse_sb__overview__r3,reuse_sb__overview,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",866fe0e0d744e7012ad6c99e7ebe6a17573757a8339b9802db7c5b6ce1bed8b0
i04-matrix-replication__generation_sfb__overview__r3,generation_sfb__overview,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,5ec1ccba025d419a349042493cc3d63638caa02a04c5788bfd6c80aa8281d3be
i04-matrix-replication__generation_sfb__overview__r3,generation_sfb__overview,2,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,118334915833d6aecb4369d71af39f135ffa6c2acffda7700fe3e2a12a6cdd6e
i04-matrix-replication__generation_s__requirements__r3,generation_s__requirements,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",2577714b5f689dfc1007fb7d8f7b06d0fcfa6e2b9c2c92884e3385cf8861c2ad
i04-matrix-replication__generation_sfb__requirements__r3,generation_sfb__requirements,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,e1f1a041e4c75ea5d75051470e4c61b59c50731b6c1162fc30c6f530bb1ce180
i04-matrix-replication__generation_s__boundaries__r3,generation_s__boundaries,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,1723583b28ab5e8a712ad6690e9b3846931bba0856f30005bf1acca6aa551cad
i04-matrix-replication__reuse_sb__boundaries__r4,reuse_sb__boundaries,1,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,5b5cfbd9744897a4913769f7455e2368abcee607fdd1e4e24ef4e0ca86a6ea10
i04-matrix-replication__reuse_sb__boundaries__r4,reuse_sb__boundaries,2,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,0fcc374cae00ae7be39a149c674bc203f24ec46857f10ce0d7467c88946791e2
i04-matrix-replication__reuse_sb__boundaries__r4,reuse_sb__boundaries,3,invalid_changes,ApoMarioLevel.java: old_text matches 2 times; provide one unique exact anchor,67d2e9ad45e7b807b8bf8a9624494d4f64c0aebb69d311edf69ce28975e33f45
i04-matrix-replication__reuse_sb__requirements__r4,reuse_sb__requirements,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,db4d7e1b20e5bbdb14938972dbf15bc000b3330ae6592680ad7ba77c52928a3a
i04-matrix-replication__reuse_sb__requirements__r4,reuse_sb__requirements,2,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,52adcfd139f0ef46ff58450e90cf64a5dfae32142e5c33ed749bd556899b97f8
i04-matrix-replication__reuse_sb__requirements__r4,reuse_sb__requirements,3,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,d4a695b36fb026a9ef650756c0bc768e281adffdf0e34f6552bf91c7b7843a8b
i04-matrix-replication__reuse_b__none__r4,reuse_b__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,76ffeeac8a8a8747fd5ce39f57d1f60393257f909e2033a373eba1069d978a21
i04-matrix-replication__reuse_sb__none__r5,reuse_sb__none,1,invalid_changes,"Missing required game integration edits: ApoMarioLevel.java, ApoMarioMenu.java",036d6d40680bcfdc915c28b40ba139c5a3f75c7fa3d6f7c7ab17b805db561e8c
i04-matrix-replication__reuse_sb__none__r5,reuse_sb__none,2,invalid_changes,Missing required game integration edits: ApoMarioPanel.java,1346d7b4a99539bcf3d02192bf6672c8021368478f6f8c3fbe4f40a83a46f0cf
i04-matrix-replication__reuse_sb__boundaries__r5,reuse_sb__boundaries,1,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,a8ebd6c3ebcd7e2e0fa8289bf110cfd7df9fde1549120779c945fafb009ed3d9
i04-matrix-replication__generation_sfb__boundaries__r5,generation_sfb__boundaries,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,cf7a242d800402da5149fad496f56ebc5f4698da238e9bd68291908b23f937ca
