runId,condition,test,category,detail,report,reportSha256,responseSha256
i04-matrix-replication__generation_s__boundaries__r1,generation_s__boundaries,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i04-matrix-replication/runs/i04-matrix-replication__generation_s__boundaries__r1/submission-1/evaluation/report.json,58921da938042cb068ac0991a557a8c0ffd865d42cc8cacb8c35a34bae6db04b,ec18e2d444cf786ff8972ce6291c59074aa29f594437f218a2cc10a23f85ff10
i04-matrix-replication__generation_s__boundaries__r1,generation_s__boundaries,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i04-matrix-replication/runs/i04-matrix-replication__generation_s__boundaries__r1/submission-1/evaluation/report.json,58921da938042cb068ac0991a557a8c0ffd865d42cc8cacb8c35a34bae6db04b,ec18e2d444cf786ff8972ce6291c59074aa29f594437f218a2cc10a23f85ff10
i04-matrix-replication__generation_s__boundaries__r1,generation_s__boundaries,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i04-matrix-replication/runs/i04-matrix-replication__generation_s__boundaries__r1/submission-1/evaluation/report.json,58921da938042cb068ac0991a557a8c0ffd865d42cc8cacb8c35a34bae6db04b,ec18e2d444cf786ff8972ce6291c59074aa29f594437f218a2cc10a23f85ff10
i04-matrix-replication__generation_s__boundaries__r1,generation_s__boundaries,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i04-matrix-replication/runs/i04-matrix-replication__generation_s__boundaries__r1/submission-1/evaluation/report.json,58921da938042cb068ac0991a557a8c0ffd865d42cc8cacb8c35a34bae6db04b,ec18e2d444cf786ff8972ce6291c59074aa29f594437f218a2cc10a23f85ff10
i04-matrix-replication__generation_s__boundaries__r1,generation_s__boundaries,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i04-matrix-replication/runs/i04-matrix-replication__generation_s__boundaries__r1/submission-1/evaluation/report.json,58921da938042cb068ac0991a557a8c0ffd865d42cc8cacb8c35a34bae6db04b,ec18e2d444cf786ff8972ce6291c59074aa29f594437f218a2cc10a23f85ff10
i04-matrix-replication__generation_s__boundaries__r1,generation_s__boundaries,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i04-matrix-replication/runs/i04-matrix-replication__generation_s__boundaries__r1/submission-1/evaluation/report.json,58921da938042cb068ac0991a557a8c0ffd865d42cc8cacb8c35a34bae6db04b,ec18e2d444cf786ff8972ce6291c59074aa29f594437f218a2cc10a23f85ff10
i04-matrix-replication__generation_sfb__requirements__r1,generation_sfb__requirements,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i04-matrix-replication/runs/i04-matrix-replication__generation_sfb__requirements__r1/submission-3/evaluation/report.json,8678695fbd36aedc05fde7a784c91b0e4ef1032d3a43eabe53f68ff2da3295fa,0a36efb84d79f3db2ef86cbb773732f959e17ebe2e2a58df411ae64fdfa0b2cc
i04-matrix-replication__reuse_b__overview__r1,reuse_b__overview,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i04-matrix-replication/runs/i04-matrix-replication__reuse_b__overview__r1/submission-3/evaluation/report.json,8e369fdce900a2e74a1cb74ce9494407bc0255d4ea44c90ab5fe7db7d5fc654b,fd61b77309b555450827070955136b8439f20c8be769ac6cdc502a8e00e4cc95
i04-matrix-replication__reuse_b__overview__r1,reuse_b__overview,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i04-matrix-replication/runs/i04-matrix-replication__reuse_b__overview__r1/submission-3/evaluation/report.json,8e369fdce900a2e74a1cb74ce9494407bc0255d4ea44c90ab5fe7db7d5fc654b,fd61b77309b555450827070955136b8439f20c8be769ac6cdc502a8e00e4cc95
i04-matrix-replication__reuse_b__overview__r1,reuse_b__overview,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i04-matrix-replication/runs/i04-matrix-replication__reuse_b__overview__r1/submission-3/evaluation/report.json,8e369fdce900a2e74a1cb74ce9494407bc0255d4ea44c90ab5fe7db7d5fc654b,fd61b77309b555450827070955136b8439f20c8be769ac6cdc502a8e00e4cc95
