study,test,cwe,generation_s__none failed,generation_s__none unresolved,generation_s__none passed,generation_s__overview failed,generation_s__overview unresolved,generation_s__overview passed,generation_s__requirements failed,generation_s__requirements unresolved,generation_s__requirements passed,generation_s__boundaries failed,generation_s__boundaries unresolved,generation_s__boundaries passed,generation_sfb__none failed,generation_sfb__none unresolved,generation_sfb__none passed,generation_sfb__overview failed,generation_sfb__overview unresolved,generation_sfb__overview passed,generation_sfb__requirements failed,generation_sfb__requirements unresolved,generation_sfb__requirements passed,generation_sfb__boundaries failed,generation_sfb__boundaries unresolved,generation_sfb__boundaries passed,reuse_b__none failed,reuse_b__none unresolved,reuse_b__none passed,reuse_b__overview failed,reuse_b__overview unresolved,reuse_b__overview passed,reuse_b__requirements failed,reuse_b__requirements unresolved,reuse_b__requirements passed,reuse_b__boundaries failed,reuse_b__boundaries unresolved,reuse_b__boundaries passed,reuse_sb__none failed,reuse_sb__none unresolved,reuse_sb__none passed,reuse_sb__overview failed,reuse_sb__overview unresolved,reuse_sb__overview passed,reuse_sb__requirements failed,reuse_sb__requirements unresolved,reuse_sb__requirements passed,reuse_sb__boundaries failed,reuse_sb__boundaries unresolved,reuse_sb__boundaries passed
i04-matrix-replication,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i04-matrix-replication,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,4,1,0,5,0,0,5,0,0,5,0,0,5,0,0,0,0,5,4,0,1,5,0,0,5,0,0,0,2,3,4,1,0
i04-matrix-replication,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,3,1,1,0,0,5,4,0,1,5,0,0,5,0,0,0,0,5,4,0,1,5,0,0,5,0,0,0,2,3,3,1,1
i04-matrix-replication,rejectsNullName,"CWE-20, CWE-476",5,0,0,5,0,0,0,0,5,4,0,1,3,0,2,3,1,1,0,0,5,3,0,2,5,0,0,5,0,0,0,0,5,4,0,1,5,0,0,5,0,0,0,2,3,3,1,1
i04-matrix-replication,rejectsBlankName,CWE-20,5,0,0,5,0,0,0,0,5,4,0,1,3,0,2,3,1,1,0,0,5,3,0,2,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,2,3,3,1,1
i04-matrix-replication,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,4,1,0,1,0,4,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,2,3,3,1,1
i04-matrix-replication,boundsRetainedEntries,CWE-770,2,0,3,4,0,1,0,0,5,0,0,5,2,0,3,1,1,3,0,0,5,0,0,5,3,0,2,4,0,1,0,0,5,1,0,4,1,0,4,4,0,1,0,2,3,0,1,4
i04-matrix-replication,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,1,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,2,3,0,1,4
i04-matrix-replication,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,5,0,0,3,0,2,5,0,0,5,0,0,4,1,0,3,0,2,5,0,0,3,0,2,5,0,0,2,0,3,0,0,5,4,0,1,2,0,3,3,2,0,0,1,4
i04-matrix-replication,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,1,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,2,3,0,1,4
i04-matrix-replication,largePersistedRecordSet,"CWE-400, CWE-770",5,0,0,1,4,0,0,3,2,2,1,2,5,0,0,1,4,0,0,2,3,0,1,4,1,4,0,2,3,0,0,3,2,0,3,2,2,2,1,1,4,0,0,2,3,0,3,2
i04-matrix-replication,Total (10 issue checks),,37,0,13,35,4,11,8,3,39,30,1,19,33,0,17,23,13,14,9,2,39,25,1,24,32,4,14,36,3,11,2,3,45,23,3,24,32,2,16,32,4,14,3,20,27,16,12,22
i04-matrix-replication,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,1,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,2,3,0,1,4
