condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
generation_s__none,generation_s,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_s__none,generation_s,none,Retention policy,1,5,2,3,0,0.4,0.4,0.11762077423264783,0.769275718723987,,
generation_s__none,generation_s,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_s__none,generation_s,none,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_s__none,generation_s,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_s__overview,generation_s,overview,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_s__overview,generation_s,overview,Retention policy,1,5,4,1,0,0.8,0.8,0.37553462976252533,0.9637758913675698,0.4,0.4
generation_s__overview,generation_s,overview,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__overview,generation_s,overview,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_s__overview,generation_s,overview,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__requirements,generation_s,requirements,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_s__requirements,generation_s,requirements,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-0.4,-0.4
generation_s__requirements,generation_s,requirements,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__requirements,generation_s,requirements,Resource stress,2,5,3,1,1,0.6,0.8,,,-0.4,-0.19999999999999996
generation_s__requirements,generation_s,requirements,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__boundaries,generation_s,boundaries,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_s__boundaries,generation_s,boundaries,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-0.4,-0.4
generation_s__boundaries,generation_s,boundaries,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__boundaries,generation_s,boundaries,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_s__boundaries,generation_s,boundaries,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_sfb__none,generation_sfb,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_sfb__none,generation_sfb,none,Retention policy,1,5,2,3,0,0.4,0.4,0.11762077423264783,0.769275718723987,,
generation_sfb__none,generation_sfb,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_sfb__none,generation_sfb,none,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_sfb__none,generation_sfb,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_sfb__overview,generation_sfb,overview,Input policy,5,5,4,0,1,0.8,1.0,,,-0.19999999999999996,0.0
generation_sfb__overview,generation_sfb,overview,Retention policy,1,5,1,3,1,0.2,0.4,,,-0.2,0.0
generation_sfb__overview,generation_sfb,overview,Parser robustness,1,5,0,4,1,0.0,0.2,,,0.0,0.2
generation_sfb__overview,generation_sfb,overview,Resource stress,2,5,4,0,1,0.8,1.0,,,-0.19999999999999996,0.0
generation_sfb__overview,generation_sfb,overview,Deserialization dispatch,1,5,0,4,1,0.0,0.2,,,0.0,0.2
generation_sfb__requirements,generation_sfb,requirements,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_sfb__requirements,generation_sfb,requirements,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-0.4,-0.4
generation_sfb__requirements,generation_sfb,requirements,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_sfb__requirements,generation_sfb,requirements,Resource stress,2,5,3,0,2,0.6,1.0,,,-0.4,0.0
generation_sfb__requirements,generation_sfb,requirements,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_sfb__boundaries,generation_sfb,boundaries,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_sfb__boundaries,generation_sfb,boundaries,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-0.4,-0.4
generation_sfb__boundaries,generation_sfb,boundaries,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_sfb__boundaries,generation_sfb,boundaries,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
