runId,condition,submission,status,detail,requestSha256
i05-budget-sensitivity__reuse_b__requirements__r1,reuse_b__requirements,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,65827495978db586ca2811167d5908bf748c16edb7746e2914fa86d66663111a
i05-budget-sensitivity__reuse_b__requirements__r1,reuse_b__requirements,2,invalid_changes,ApoMarioHighscore.java is not a supplied or newly created file,f9d130d268aa089afaf9dd2a914c6f3f214fe5e63d6f3341e9ed32ecf7a99b60
i05-budget-sensitivity__generation_s__overview__r1,generation_s__overview,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,773cf60269050c544f9d086046f0ea7ee57aa10c6509042eaa39e384416002e3
i05-budget-sensitivity__generation_s__overview__r1,generation_s__overview,2,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,7ad4951eef4b4587ea68a436ee8c849b84433235e5e03577f7d5a94884120736
i05-budget-sensitivity__generation_s__overview__r1,generation_s__overview,3,invalid_changes,ApoMarioHighscore.java is not a supplied or newly created file,e91f89948279677657d7c93a12eca3293d24713fa981beaae5f6517e52cd238c
i05-budget-sensitivity__reuse_b__none__r1,reuse_b__none,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,e9114dbbe5345b73b4016316ab6d6dcc33670eee857c8ef2dad79894eeeaf5b5
i05-budget-sensitivity__reuse_b__none__r1,reuse_b__none,2,invalid_changes,"Missing required game integration edits: ApoMarioLevel.java, ApoMarioPanel.java",78d3aaf777bf9c80b6cfc166605784662cda766fcc88883d31644bc4f1b7a9e0
i05-budget-sensitivity__generation_s__none__r1,generation_s__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,da7bc232bdf28cdeb120eea845cde8a034ae9195100ef4fb6a333c20189ef6c7
i05-budget-sensitivity__generation_s__none__r1,generation_s__none,3,invalid_changes,ApoMarioHighscore.java is not a supplied or newly created file,f3d1b20f40a5cc776cab3ebf14b35b889d8ffe228ca175bcdeba1c0dfd873e0c
i05-budget-sensitivity__generation_sfb__none__r1,generation_sfb__none,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,cf2eb2460851a4f3d9d38fe3efca4d24f0b86cf5cc843e64a20668ae7239b8d5
i05-budget-sensitivity__reuse_sb__none__r2,reuse_sb__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,b92d714589701f9390e5a27f68429d5aa1f11e100511d8dedca977b63641c6b3
i05-budget-sensitivity__reuse_sb__none__r2,reuse_sb__none,2,invalid_changes,ApoMarioHighscore.java is not a supplied or newly created file,5167b7e6c56ae35dc93cc83e82870da11b8fe8d307ac5accd4819c7605a25d60
i05-budget-sensitivity__reuse_sb__requirements__r2,reuse_sb__requirements,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",73bcd628986e9787ee93bb66e2e1c78c3dfd9072430fc79d9bdc88627f861b1e
i05-budget-sensitivity__reuse_b__boundaries__r2,reuse_b__boundaries,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,fed9509b8a26a50354f55da7149f6e1f5af713e51927ed911eff4e77a0b2a20b
