study,test,cwe,generation_s__none failed,generation_s__none unresolved,generation_s__none passed,generation_s__overview failed,generation_s__overview unresolved,generation_s__overview passed,generation_s__requirements failed,generation_s__requirements unresolved,generation_s__requirements passed,generation_s__boundaries failed,generation_s__boundaries unresolved,generation_s__boundaries passed,generation_sfb__none failed,generation_sfb__none unresolved,generation_sfb__none passed,generation_sfb__overview failed,generation_sfb__overview unresolved,generation_sfb__overview passed,generation_sfb__requirements failed,generation_sfb__requirements unresolved,generation_sfb__requirements passed,generation_sfb__boundaries failed,generation_sfb__boundaries unresolved,generation_sfb__boundaries passed,reuse_b__none failed,reuse_b__none unresolved,reuse_b__none passed,reuse_b__overview failed,reuse_b__overview unresolved,reuse_b__overview passed,reuse_b__requirements failed,reuse_b__requirements unresolved,reuse_b__requirements passed,reuse_b__boundaries failed,reuse_b__boundaries unresolved,reuse_b__boundaries passed,reuse_sb__none failed,reuse_sb__none unresolved,reuse_sb__none passed,reuse_sb__overview failed,reuse_sb__overview unresolved,reuse_sb__overview passed,reuse_sb__requirements failed,reuse_sb__requirements unresolved,reuse_sb__requirements passed,reuse_sb__boundaries failed,reuse_sb__boundaries unresolved,reuse_sb__boundaries passed
i05-budget-sensitivity,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i05-budget-sensitivity,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,5,0,0,4,0,1,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0
i05-budget-sensitivity,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,5,0,0,1,0,4,4,0,1,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,5,4,0,1
i05-budget-sensitivity,rejectsNullName,"CWE-20, CWE-476",5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0
i05-budget-sensitivity,rejectsBlankName,CWE-20,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0
i05-budget-sensitivity,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,5,0,0,1,0,4,5,0,0,5,0,0,5,0,0,1,0,4,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0
i05-budget-sensitivity,boundsRetainedEntries,CWE-770,5,0,0,4,0,1,0,0,5,0,0,5,4,0,1,4,0,1,0,0,5,0,0,5,1,0,4,2,0,3,0,0,5,1,0,4,2,0,3,2,0,3,0,0,5,2,0,3
i05-budget-sensitivity,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,1,0,4,0,0,5,0,0,5
i05-budget-sensitivity,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,5,0,0,2,0,3,5,0,0,5,0,0,5,0,0,4,0,1,5,0,0,4,0,1,4,0,1,1,0,4,0,0,5,4,0,1,5,0,0,0,0,5,0,0,5
i05-budget-sensitivity,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i05-budget-sensitivity,largePersistedRecordSet,"CWE-400, CWE-770",2,3,0,0,5,0,0,2,3,0,2,3,5,0,0,2,3,0,0,1,4,0,3,2,3,2,0,1,4,0,0,4,1,0,3,2,3,2,0,1,3,1,0,4,1,0,3,2
i05-budget-sensitivity,Total (10 issue checks),,37,3,10,34,5,11,8,2,40,29,2,19,39,0,11,36,3,11,10,1,39,30,3,17,33,2,15,32,4,14,1,4,45,26,3,21,34,2,14,34,3,13,0,4,46,26,3,21
i05-budget-sensitivity,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
