parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,overview,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,overview,rejectsNegativeTime,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,overview,rejectsNullName,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,overview,rejectsBlankName,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,overview,rejectsExcessiveName,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,overview,boundsRetainedEntries,Retention policy,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_s,overview,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,overview,oversizedPhysicalLine,Resource stress,5,5,0,5,5,0,0.0,equal
generation_s,overview,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,overview,largePersistedRecordSet,Resource stress,2,2,3,0,0,5,,unresolved
generation_s,requirements,rejectsNegativeScore,Input policy,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_s,requirements,rejectsNegativeTime,Input policy,5,5,0,1,5,0,-0.8,decreased
generation_s,requirements,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,requirements,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,requirements,rejectsExcessiveName,Input policy,5,5,0,1,5,0,-0.8,decreased
generation_s,requirements,boundsRetainedEntries,Retention policy,5,5,0,0,5,0,-1.0,decreased
generation_s,requirements,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,requirements,oversizedPhysicalLine,Resource stress,5,5,0,2,5,0,-0.6,decreased
generation_s,requirements,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,requirements,largePersistedRecordSet,Resource stress,2,2,3,0,3,2,,unresolved
generation_s,boundaries,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,boundaries,rejectsNegativeTime,Input policy,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_s,boundaries,rejectsNullName,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,boundaries,rejectsBlankName,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,boundaries,rejectsExcessiveName,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,boundaries,boundsRetainedEntries,Retention policy,5,5,0,0,5,0,-1.0,decreased
generation_s,boundaries,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,boundaries,oversizedPhysicalLine,Resource stress,5,5,0,5,5,0,0.0,equal
generation_s,boundaries,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,boundaries,largePersistedRecordSet,Resource stress,2,2,3,0,3,2,,unresolved
generation_sfb,overview,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
generation_sfb,overview,rejectsNegativeTime,Input policy,5,5,0,5,5,0,0.0,equal
generation_sfb,overview,rejectsNullName,Input policy,5,5,0,5,5,0,0.0,equal
generation_sfb,overview,rejectsBlankName,Input policy,5,5,0,5,5,0,0.0,equal
generation_sfb,overview,rejectsExcessiveName,Input policy,5,5,0,5,5,0,0.0,equal
generation_sfb,overview,boundsRetainedEntries,Retention policy,4,5,0,4,5,0,0.0,equal
generation_sfb,overview,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_sfb,overview,oversizedPhysicalLine,Resource stress,5,5,0,5,5,0,0.0,equal
generation_sfb,overview,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_sfb,overview,largePersistedRecordSet,Resource stress,5,5,0,2,2,3,,unresolved
generation_sfb,requirements,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
generation_sfb,requirements,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_sfb,requirements,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_sfb,requirements,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_sfb,requirements,rejectsExcessiveName,Input policy,5,5,0,1,5,0,-0.8,decreased
generation_sfb,requirements,boundsRetainedEntries,Retention policy,4,5,0,0,5,0,-0.8,decreased
generation_sfb,requirements,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_sfb,requirements,oversizedPhysicalLine,Resource stress,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_sfb,requirements,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_sfb,requirements,largePersistedRecordSet,Resource stress,5,5,0,0,4,1,,unresolved
generation_sfb,boundaries,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
generation_sfb,boundaries,rejectsNegativeTime,Input policy,5,5,0,5,5,0,0.0,equal
generation_sfb,boundaries,rejectsNullName,Input policy,5,5,0,5,5,0,0.0,equal
generation_sfb,boundaries,rejectsBlankName,Input policy,5,5,0,5,5,0,0.0,equal
generation_sfb,boundaries,rejectsExcessiveName,Input policy,5,5,0,5,5,0,0.0,equal
generation_sfb,boundaries,boundsRetainedEntries,Retention policy,4,5,0,0,5,0,-0.8,decreased
generation_sfb,boundaries,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_sfb,boundaries,oversizedPhysicalLine,Resource stress,5,5,0,5,5,0,0.0,equal
generation_sfb,boundaries,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
