study,test,cwe,generation_s__none failed,generation_s__none unresolved,generation_s__none passed,generation_s__operations failed,generation_s__operations unresolved,generation_s__operations passed,generation_s__requirements failed,generation_s__requirements unresolved,generation_s__requirements passed,generation_s__boundaries failed,generation_s__boundaries unresolved,generation_s__boundaries passed,generation_sfb__none failed,generation_sfb__none unresolved,generation_sfb__none passed,generation_sfb__operations failed,generation_sfb__operations unresolved,generation_sfb__operations passed,generation_sfb__requirements failed,generation_sfb__requirements unresolved,generation_sfb__requirements passed,generation_sfb__boundaries failed,generation_sfb__boundaries unresolved,generation_sfb__boundaries passed,reuse_b__none failed,reuse_b__none unresolved,reuse_b__none passed,reuse_b__operations failed,reuse_b__operations unresolved,reuse_b__operations passed,reuse_b__requirements failed,reuse_b__requirements unresolved,reuse_b__requirements passed,reuse_b__boundaries failed,reuse_b__boundaries unresolved,reuse_b__boundaries passed,reuse_sb__none failed,reuse_sb__none unresolved,reuse_sb__none passed,reuse_sb__operations failed,reuse_sb__operations unresolved,reuse_sb__operations passed,reuse_sb__requirements failed,reuse_sb__requirements unresolved,reuse_sb__requirements passed,reuse_sb__boundaries failed,reuse_sb__boundaries unresolved,reuse_sb__boundaries passed
i06-operational-guards,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i06-operational-guards,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,3,0,2,0,0,5,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0
i06-operational-guards,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,0,0,5,0,0,5,3,0,2,5,0,0,0,0,5,0,0,5,4,0,1,5,0,0,0,0,5,0,0,5,4,0,1,5,0,0,0,0,5,0,0,5,4,0,1
i06-operational-guards,rejectsNullName,"CWE-20, CWE-476",4,0,1,1,0,4,0,0,5,2,0,3,4,0,1,0,0,5,0,0,5,4,0,1,5,0,0,0,0,5,0,0,5,3,0,2,5,0,0,0,0,5,0,0,5,5,0,0
i06-operational-guards,rejectsBlankName,CWE-20,4,0,1,2,0,3,0,0,5,2,0,3,4,0,1,0,0,5,1,0,4,4,0,1,5,0,0,0,0,5,1,0,4,4,0,1,5,0,0,0,0,5,0,0,5,5,0,0
i06-operational-guards,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,5,0,0,1,0,4,5,0,0,5,0,0,4,0,1,0,0,5,5,0,0,5,0,0,0,0,5,0,0,5,5,0,0,5,0,0,0,0,5,0,0,5,5,0,0
i06-operational-guards,boundsRetainedEntries,CWE-770,4,0,1,0,0,5,0,0,5,0,0,5,3,0,2,0,0,5,0,0,5,0,0,5,2,0,3,1,0,4,0,0,5,1,0,4,0,0,5,2,0,3,0,0,5,0,0,5
i06-operational-guards,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i06-operational-guards,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,0,0,5,3,0,2,5,0,0,5,0,0,0,0,5,4,0,1,5,0,0,4,0,1,0,0,5,2,0,3,0,0,5,4,0,1,0,0,5,2,0,3,0,0,5
i06-operational-guards,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i06-operational-guards,largePersistedRecordSet,"CWE-400, CWE-770",3,2,0,0,1,4,0,3,2,0,4,1,3,2,0,0,3,2,0,3,2,0,4,1,3,2,0,0,2,3,0,3,2,0,4,1,2,3,0,0,5,0,0,1,4,0,3,2
i06-operational-guards,Total (10 issue checks),,35,2,13,13,1,36,9,3,38,22,4,24,34,2,14,9,3,38,10,3,37,27,4,19,34,2,14,4,2,44,3,3,44,22,4,24,31,3,16,7,5,38,2,1,47,24,3,23
i06-operational-guards,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
