runId,condition,test,category,detail,report,reportSha256,responseSha256
i07-operational-replication__reuse_b__boundaries__r1,reuse_b__boundaries,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i07-operational-replication/runs/i07-operational-replication__reuse_b__boundaries__r1/submission-3/evaluation/report.json,1d179621280a7c82bb196a3d98291f1f768774f5364899e6b9bd08f8769d9599,4990a8d75e86505e7073cc3d0f6f674c48dc811b2e3466819496fbe6952483d6
i07-operational-replication__reuse_b__boundaries__r1,reuse_b__boundaries,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i07-operational-replication/runs/i07-operational-replication__reuse_b__boundaries__r1/submission-3/evaluation/report.json,1d179621280a7c82bb196a3d98291f1f768774f5364899e6b9bd08f8769d9599,4990a8d75e86505e7073cc3d0f6f674c48dc811b2e3466819496fbe6952483d6
i07-operational-replication__reuse_b__boundaries__r1,reuse_b__boundaries,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i07-operational-replication/runs/i07-operational-replication__reuse_b__boundaries__r1/submission-3/evaluation/report.json,1d179621280a7c82bb196a3d98291f1f768774f5364899e6b9bd08f8769d9599,4990a8d75e86505e7073cc3d0f6f674c48dc811b2e3466819496fbe6952483d6
i07-operational-replication__reuse_b__boundaries__r1,reuse_b__boundaries,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i07-operational-replication/runs/i07-operational-replication__reuse_b__boundaries__r1/submission-3/evaluation/report.json,1d179621280a7c82bb196a3d98291f1f768774f5364899e6b9bd08f8769d9599,4990a8d75e86505e7073cc3d0f6f674c48dc811b2e3466819496fbe6952483d6
i07-operational-replication__reuse_b__boundaries__r1,reuse_b__boundaries,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i07-operational-replication/runs/i07-operational-replication__reuse_b__boundaries__r1/submission-3/evaluation/report.json,1d179621280a7c82bb196a3d98291f1f768774f5364899e6b9bd08f8769d9599,4990a8d75e86505e7073cc3d0f6f674c48dc811b2e3466819496fbe6952483d6
i07-operational-replication__reuse_b__requirements__r1,reuse_b__requirements,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i07-operational-replication/runs/i07-operational-replication__reuse_b__requirements__r1/submission-2/evaluation/report.json,5e02009483f42b6705fda8501b6aef27c4f415a53273472ddcc8b4dc3a07ab43,ab308fc56d04030275b3c23a094d418d27401e25c4fe4207870ce0566a1d9536
i07-operational-replication__generation_sfb__boundaries__r1,generation_sfb__boundaries,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i07-operational-replication/runs/i07-operational-replication__generation_sfb__boundaries__r1/submission-1/evaluation/report.json,ae84de8a80a42941e9af8579d5a616e6bef480bf393a040b2304812b25b5b03d,0532374b5bdc7feefae16d03f9dfdc13883d35745cf8e4e5f8284fc34d80af5d
i07-operational-replication__generation_sfb__boundaries__r1,generation_sfb__boundaries,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i07-operational-replication/runs/i07-operational-replication__generation_sfb__boundaries__r1/submission-1/evaluation/report.json,ae84de8a80a42941e9af8579d5a616e6bef480bf393a040b2304812b25b5b03d,0532374b5bdc7feefae16d03f9dfdc13883d35745cf8e4e5f8284fc34d80af5d
i07-operational-replication__generation_sfb__boundaries__r1,generation_sfb__boundaries,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i07-operational-replication/runs/i07-operational-replication__generation_sfb__boundaries__r1/submission-1/evaluation/report.json,ae84de8a80a42941e9af8579d5a616e6bef480bf393a040b2304812b25b5b03d,0532374b5bdc7feefae16d03f9dfdc13883d35745cf8e4e5f8284fc34d80af5d
i07-operational-replication__generation_s__boundaries__r1,generation_s__boundaries,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i07-operational-replication/runs/i07-operational-replication__generation_s__boundaries__r1/submission-1/evaluation/report.json,600953723526393f725b3391b4a3f32c0cc5516982318fff0d8aed401251bf98,63aedccaf506ea6eb3f9d60114a28a67c7fc15a52ad602f1c5b95ae67b67774e
