round,arm,n,source,compiled,functionalFirst,functional,inputPolicyClean,securityClean,fullHits,failed,passed,unresolved,toolTurnsMedian,reads,searches,submissions,injections,guardConsultations,guardPositive,guardInterventions,firstCompilingTurnMedian,compiledEver
i07-operational-replication,generation_s__none,5,qualified-results.json,5,1,5,0,0,0,38,15,2,0,0,0,13,0,0,0,0,1,5
i07-operational-replication,generation_s__operations,5,qualified-results.json,5,1,4,0,0,0,18,33,4,0,0,0,13,0,0,0,0,2,5
i07-operational-replication,generation_s__requirements,5,qualified-results.json,5,1,5,0,0,0,10,44,1,0,0,0,15,0,0,0,0,1,5
i07-operational-replication,generation_s__boundaries,5,qualified-results.json,5,4,4,0,0,0,25,27,3,0,0,0,9,0,0,0,0,1,5
i07-operational-replication,generation_sfb__none,5,qualified-results.json,5,5,5,0,0,0,38,17,0,0,0,0,5,0,0,0,0,1,5
i07-operational-replication,generation_sfb__operations,5,qualified-results.json,5,1,5,0,0,0,19,34,2,0,0,0,15,0,0,0,0,1,5
i07-operational-replication,generation_sfb__requirements,5,qualified-results.json,5,1,4,0,0,0,11,40,4,0,0,0,16,0,0,0,0,1,5
i07-operational-replication,generation_sfb__boundaries,5,qualified-results.json,5,5,5,0,0,0,28,25,2,0,0,0,5,0,0,0,0,1,5
i07-operational-replication,reuse_b__none,5,qualified-results.json,5,1,4,0,0,0,27,16,12,0,0,0,14,0,0,0,0,1.5,4
i07-operational-replication,reuse_b__operations,5,qualified-results.json,5,0,4,1,0,0,5,35,15,0,0,0,18,0,0,0,0,1,5
i07-operational-replication,reuse_b__requirements,5,qualified-results.json,5,0,5,5,0,0,4,49,2,0,0,0,18,0,0,0,0,1,5
i07-operational-replication,reuse_b__boundaries,5,qualified-results.json,5,1,4,0,0,0,19,33,3,0,0,0,14,0,0,0,0,2,5
i07-operational-replication,reuse_sb__none,5,qualified-results.json,5,4,5,0,0,0,32,22,1,0,0,0,6,0,0,0,0,1,5
i07-operational-replication,reuse_sb__operations,5,qualified-results.json,5,0,5,0,0,0,8,42,5,0,0,0,18,0,0,0,0,2,5
i07-operational-replication,reuse_sb__requirements,5,qualified-results.json,5,0,5,5,0,0,0,50,5,0,0,0,16,0,0,0,0,2,5
i07-operational-replication,reuse_sb__boundaries,5,qualified-results.json,5,2,5,0,0,0,19,34,2,0,0,0,8,0,0,0,0,1,5
