index,runId,check,qualifiedStatus,category,evidence,reviewer,sourceSha256,humanVerdict,humanCategory,humanNote
1,i07-operational-replication__reuse_b__boundaries__r2,rejectsNegativeScore,fail,accepted,apoMario/game/panels/ApoMarioHighscore.java:L43-L45,claude-fable-5.1/batch-6,07e0429417ce8d694c4f39d635a9285cf490fc41cc9e0290b36eaafda8b3ba0e,,,
2,i07-operational-replication__generation_s__requirements__r5,rejectsNegativeScore,fail,accepted,apoMario/game/panels/ApoMarioHighscore.java:L46-L49,claude-fable-5.1/batch-2,053ed993671575637050e438473e348a4477b85e5a2c42aa281a3d318bf155cf,,,
3,i07-operational-replication__reuse_b__operations__r3,rejectsNegativeTime,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L57,claude-fable-5.1/batch-5,730d0230bc8025142635b5fefd386bac2eca1e7a595fab07383a09704efab289,,,
4,i07-operational-replication__generation_s__none__r2,rejectsNegativeTime,fail,sanitized,apoMario/game/panels/ApoMarioHighscore.java:L52,claude-fable-5.1/batch-1,b9308bdf6ec0ade6c150b778a442414eab642db7d9e50a047b2c4fa21e5cb559,,,
5,i07-operational-replication__generation_s__none__r5,rejectsNullName,fail,sanitized,apoMario/game/panels/ApoMarioHighscore.java:L53-L56,claude-fable-5.1/batch-1,31ce361c0fbf8af485f1f570ca50622f7a26326020333f45e977758398d9447d,,,
6,i07-operational-replication__reuse_sb__operations__r1,rejectsNullName,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L64-L65; apoMario/game/panels/ApoMarioHighscore.java:L77,claude-fable-5.1/batch-7,f536b1d4d09e037137b3dd2d379466dd8e025a0dde6f8e0cd73334886575fde5,,,
7,i07-operational-replication__generation_s__operations__r3,rejectsBlankName,fail,sanitized,apoMario/game/panels/ApoMarioHighscore.java:L44-L46; apoMario/game/panels/ApoMarioHighscore.java:L134,claude-fable-5.1/batch-1,5784529494ec12f1dbef4d153fa6208767c49899af4d73d9172a9bddc4cfaddf,,,
8,i07-operational-replication__reuse_b__none__r2,rejectsBlankName,fail,sanitized,apoMario/game/panels/ApoMarioHighscore.java:L33-L34,claude-fable-5.1/batch-5,82c283795c9fa84c0452c574cab2d42ef2ee8c29f93380d6850cbafb4c5aa054,,,
9,i07-operational-replication__reuse_sb__requirements__r2,rejectsExcessiveName,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L30; apoMario/game/panels/ApoMarioHighscore.java:L165,claude-fable-5.1/batch-8,0514aca48407ddcb52fabbde079100c9ab63bdc9fd40a1fb0f03f9fe6b3fdb2a,,,
10,i07-operational-replication__generation_s__none__r3,rejectsExcessiveName,fail,accepted,apoMario/game/panels/ApoMarioHighscore.java:L42-L49,claude-fable-5.1/batch-1,fba1a1beff925bd53774c10d8ab35ac8844645a3e1e24922c28fd9afe4bc5ca7,,,
11,i07-operational-replication__reuse_sb__none__r2,boundsRetainedEntries,pass,bounded_on_store,apoMario/game/panels/ApoMarioHighscore.java:L40-L44,claude-fable-5.1/batch-7,e615f2c26d95de978c9728c35a3b22d4af45732eb182b13cffa58032cb621458,,,
12,i07-operational-replication__generation_sfb__none__r3,boundsRetainedEntries,fail,unbounded,apoMario/game/panels/ApoMarioHighscore.java:L58-L59; apoMario/game/panels/ApoMarioHighscore.java:L48-L52,claude-fable-5.1/batch-3,df17c644029ad22aadc48e50a5fa4243f91e32d8ce32b1832aeb56c996cd8d7f,,,
13,i07-operational-replication__generation_s__boundaries__r5,malformedStoreDoesNotCrash,pass,guarded_fallback,apoMario/game/panels/ApoMarioHighscore.java:L67-L73,claude-fable-5.1/batch-2,002f73dd1e3252554e89d113259c04c2ddad303d200b2c6ed061f078125b1f5e,,,
14,i07-operational-replication__generation_s__operations__r2,malformedStoreDoesNotCrash,pass,guarded_fallback,apoMario/game/panels/ApoMarioHighscore.java:L90-L101,claude-fable-5.1/batch-1,4a09452df438efa98f5f0d1a0af3a9530cc593c13b64b72b48221b50b1af92c2,,,
15,i07-operational-replication__reuse_b__requirements__r3,oversizedPhysicalLine,fail,unbounded_read,apoMario/game/panels/ApoMarioHighscore.java:L93-L97,claude-fable-5.1/batch-6,928028cfd80f7e6b2422f73562c3308b7b588d38998883cc8ce26be56e19d5d6,,,
16,i07-operational-replication__reuse_b__requirements__r1,oversizedPhysicalLine,fail,unbounded_read,apoMario/game/panels/ApoMarioHighscore.java:L104-L107,claude-fable-5.1/batch-6,890a7612f441aefb6221c8815d170b8c33bbae2cb49d8aecff77b4622e5efdfa,,,
