check,condition,method,paperContext,securityStrategy,N,category:rejected,category:sanitized,category:accepted,category:crashed,category:unresolved,failed,unresolved,passed,flagged,category:bounded_on_store,category:bounded_on_persist_only,category:bounded_on_load_only,category:unbounded,category:guarded_fallback,category:guarded_reset,category:unguarded,category:bounded_read,category:post_read_limit,category:unbounded_read,category:text_format,category:object_stream_filtered,category:object_stream_unfiltered,category:bounded_count_during_load,category:post_load_truncation
rejectsNegativeScore,reuse_sb__requirements,Reuse,S+B,requirements,5,5,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,
rejectsNegativeTime,reuse_sb__requirements,Reuse,S+B,requirements,5,5,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,
rejectsNullName,reuse_sb__requirements,Reuse,S+B,requirements,5,5,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,
rejectsBlankName,reuse_sb__requirements,Reuse,S+B,requirements,5,5,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,
rejectsExcessiveName,reuse_sb__requirements,Reuse,S+B,requirements,5,5,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,
boundsRetainedEntries,reuse_sb__requirements,Reuse,S+B,requirements,5,,,,,0,0,0,5,0,5,0,0,0,,,,,,,,,,,
malformedStoreDoesNotCrash,reuse_sb__requirements,Reuse,S+B,requirements,5,,,,,0,0,0,5,0,,,,,5,0,0,,,,,,,,
oversizedPhysicalLine,reuse_sb__requirements,Reuse,S+B,requirements,5,,,,,0,0,0,5,0,,,,,,,,5,0,0,,,,,
nativeDeserializationCanary,reuse_sb__requirements,Reuse,S+B,requirements,5,,,,,0,0,0,5,0,,,,,,,,,,,5,0,0,,
largePersistedRecordSet,reuse_sb__requirements,Reuse,S+B,requirements,5,,,,,5,0,5,0,0,,,,0,,,,,,,,,,0,0
rejectsNegativeScore,reuse_b__boundaries,Reuse,B,boundaries,5,1,2,2,0,0,4,0,1,0,,,,,,,,,,,,,,,
rejectsNegativeTime,reuse_b__boundaries,Reuse,B,boundaries,5,2,3,0,0,0,3,0,2,0,,,,,,,,,,,,,,,
rejectsNullName,reuse_b__boundaries,Reuse,B,boundaries,5,1,4,0,0,0,4,0,1,0,,,,,,,,,,,,,,,
rejectsBlankName,reuse_b__boundaries,Reuse,B,boundaries,5,1,4,0,0,0,4,0,1,0,,,,,,,,,,,,,,,
rejectsExcessiveName,reuse_b__boundaries,Reuse,B,boundaries,5,1,4,0,0,0,4,0,1,0,,,,,,,,,,,,,,,
boundsRetainedEntries,reuse_b__boundaries,Reuse,B,boundaries,5,,,,,0,0,0,5,0,5,0,0,0,,,,,,,,,,,
malformedStoreDoesNotCrash,reuse_b__boundaries,Reuse,B,boundaries,5,,,,,0,0,0,5,0,,,,,5,0,0,,,,,,,,
oversizedPhysicalLine,reuse_b__boundaries,Reuse,B,boundaries,5,,,,,0,0,0,5,0,,,,,,,,5,0,0,,,,,
nativeDeserializationCanary,reuse_b__boundaries,Reuse,B,boundaries,5,,,,,0,0,0,5,0,,,,,,,,,,,5,0,0,,
largePersistedRecordSet,reuse_b__boundaries,Reuse,B,boundaries,5,,,,,3,0,3,2,0,,,,0,,,,,,,,,,2,0
rejectsNegativeScore,reuse_b__operations,Reuse,B,operations,5,2,0,2,0,1,2,1,2,0,,,,,,,,,,,,,,,
rejectsNegativeTime,reuse_b__operations,Reuse,B,operations,5,4,0,0,0,1,0,1,4,0,,,,,,,,,,,,,,,
rejectsNullName,reuse_b__operations,Reuse,B,operations,5,4,0,0,0,1,0,1,4,0,,,,,,,,,,,,,,,
rejectsBlankName,reuse_b__operations,Reuse,B,operations,5,4,0,0,0,1,0,1,4,0,,,,,,,,,,,,,,,
rejectsExcessiveName,reuse_b__operations,Reuse,B,operations,5,2,2,0,0,1,2,1,2,0,,,,,,,,,,,,,,,
boundsRetainedEntries,reuse_b__operations,Reuse,B,operations,5,,,,,1,1,1,3,0,3,0,0,1,,,,,,,,,,,
malformedStoreDoesNotCrash,reuse_b__operations,Reuse,B,operations,5,,,,,1,0,1,4,0,,,,,4,0,0,,,,,,,,
oversizedPhysicalLine,reuse_b__operations,Reuse,B,operations,5,,,,,1,0,1,4,0,,,,,,,,4,0,0,,,,,
