study,test,cwe,generation_s__none failed,generation_s__none unresolved,generation_s__none passed,generation_s__operations failed,generation_s__operations unresolved,generation_s__operations passed,generation_s__requirements failed,generation_s__requirements unresolved,generation_s__requirements passed,generation_s__boundaries failed,generation_s__boundaries unresolved,generation_s__boundaries passed,generation_sfb__none failed,generation_sfb__none unresolved,generation_sfb__none passed,generation_sfb__operations failed,generation_sfb__operations unresolved,generation_sfb__operations passed,generation_sfb__requirements failed,generation_sfb__requirements unresolved,generation_sfb__requirements passed,generation_sfb__boundaries failed,generation_sfb__boundaries unresolved,generation_sfb__boundaries passed,reuse_b__none failed,reuse_b__none unresolved,reuse_b__none passed,reuse_b__operations failed,reuse_b__operations unresolved,reuse_b__operations passed,reuse_b__requirements failed,reuse_b__requirements unresolved,reuse_b__requirements passed,reuse_b__boundaries failed,reuse_b__boundaries unresolved,reuse_b__boundaries passed,reuse_sb__none failed,reuse_sb__none unresolved,reuse_sb__none passed,reuse_sb__operations failed,reuse_sb__operations unresolved,reuse_sb__operations passed,reuse_sb__requirements failed,reuse_sb__requirements unresolved,reuse_sb__requirements passed,reuse_sb__boundaries failed,reuse_sb__boundaries unresolved,reuse_sb__boundaries passed
i07-operational-replication,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i07-operational-replication,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,4,0,1,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,4,1,0,2,1,2,0,0,5,4,0,1,5,0,0,5,0,0,0,0,5,5,0,0
i07-operational-replication,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,0,0,5,0,0,5,3,0,2,5,0,0,0,0,5,0,0,5,4,0,1,4,1,0,0,1,4,0,0,5,3,0,2,5,0,0,0,0,5,0,0,5,4,0,1
i07-operational-replication,rejectsNullName,"CWE-20, CWE-476",5,0,0,3,0,2,0,0,5,4,0,1,5,0,0,1,0,4,0,0,5,4,0,1,4,1,0,0,1,4,0,0,5,4,0,1,5,0,0,0,0,5,0,0,5,3,0,2
i07-operational-replication,rejectsBlankName,CWE-20,5,0,0,3,0,2,0,0,5,3,0,2,5,0,0,4,0,1,0,0,5,4,0,1,4,1,0,0,1,4,0,0,5,4,0,1,5,0,0,0,0,5,0,0,5,3,0,2
i07-operational-replication,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,5,0,0,3,0,2,5,0,0,5,0,0,5,0,0,1,0,4,5,0,0,4,1,0,2,1,2,0,0,5,4,0,1,5,0,0,1,0,4,0,0,5,4,0,1
i07-operational-replication,boundsRetainedEntries,CWE-770,5,0,0,1,0,4,0,0,5,0,0,5,3,0,2,0,0,5,0,0,5,0,0,5,0,1,4,1,1,3,0,0,5,0,0,5,1,0,4,2,0,3,0,0,5,0,0,5
i07-operational-replication,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,1,4,0,1,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i07-operational-replication,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,2,0,3,2,0,3,5,0,0,5,0,0,4,0,1,5,0,0,5,0,0,4,1,0,0,1,4,4,0,1,0,0,5,3,0,2,0,0,5,0,0,5,0,0,5
i07-operational-replication,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,1,4,0,1,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i07-operational-replication,largePersistedRecordSet,"CWE-400, CWE-770",3,2,0,0,4,1,0,1,4,0,3,2,5,0,0,0,2,3,0,4,1,1,2,2,3,2,0,0,5,0,0,2,3,0,3,2,3,1,1,0,5,0,0,5,0,0,2,3
i07-operational-replication,Total (10 issue checks),,38,2,10,18,4,28,10,1,39,25,3,22,38,0,12,19,2,29,11,4,35,28,2,20,27,11,12,5,14,31,4,2,44,19,3,28,32,1,17,8,5,37,0,5,45,19,2,29
i07-operational-replication,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,1,4,0,1,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
