iteration,condition,n,compiled,firstFull,withinBudgetFull,codeCalls,jointPass,issuesFailed,issuesEvaluated,issuesUnresolved,issuesPlannedchecks,oversizedPhysicalLine_passed,oversizedPhysicalLine_failed,oversizedPhysicalLine_unresolved,largePersistedRecordSet_passed,largePersistedRecordSet_failed,largePersistedRecordSet_unresolved
i06-operational-guards,generation_s__none,5,5,3,5,8,0,35,48,2,50,0,5,0,0,3,2
i06-operational-guards,generation_s__operations,5,5,0,5,14,0,13,49,1,50,5,0,0,4,0,1
i06-operational-guards,generation_s__requirements,5,5,2,4,12,0,9,47,3,50,2,3,0,2,0,3
i06-operational-guards,generation_s__boundaries,5,5,3,5,7,0,22,46,4,50,0,5,0,1,0,4
i06-operational-guards,generation_sfb__none,5,5,2,5,9,0,34,48,2,50,0,5,0,0,3,2
i06-operational-guards,generation_sfb__operations,5,5,2,5,13,0,9,47,3,50,5,0,0,2,0,3
i06-operational-guards,generation_sfb__requirements,5,5,1,4,17,0,10,47,3,50,1,4,0,2,0,3
i06-operational-guards,generation_sfb__boundaries,5,5,1,5,10,0,27,46,4,50,0,5,0,1,0,4
i06-operational-guards,reuse_b__none,5,5,1,5,14,0,34,48,2,50,1,4,0,0,3,2
i06-operational-guards,reuse_b__operations,5,5,0,4,17,2,4,48,2,50,5,0,0,3,0,2
i06-operational-guards,reuse_b__requirements,5,5,0,4,14,0,3,47,3,50,3,2,0,2,0,3
i06-operational-guards,reuse_b__boundaries,5,5,1,5,12,0,22,46,4,50,5,0,0,1,0,4
i06-operational-guards,reuse_sb__none,5,5,4,5,6,0,31,47,3,50,1,4,0,0,2,3
i06-operational-guards,reuse_sb__operations,5,5,1,5,17,0,7,45,5,50,5,0,0,0,0,5
i06-operational-guards,reuse_sb__requirements,5,5,2,5,11,2,2,49,1,50,3,2,0,4,0,1
i06-operational-guards,reuse_sb__boundaries,5,5,1,5,9,0,24,47,3,50,5,0,0,2,0,3
i07-operational-replication,generation_s__none,5,5,1,5,13,0,38,48,2,50,0,5,0,0,3,2
i07-operational-replication,generation_s__operations,5,5,1,4,13,0,18,46,4,50,3,2,0,1,0,4
i07-operational-replication,generation_s__requirements,5,5,1,5,15,0,10,49,1,50,3,2,0,4,0,1
i07-operational-replication,generation_s__boundaries,5,5,4,4,9,0,25,47,3,50,0,5,0,2,0,3
i07-operational-replication,generation_sfb__none,5,5,5,5,5,0,38,50,0,50,0,5,0,0,5,0
i07-operational-replication,generation_sfb__operations,5,5,1,5,15,0,19,48,2,50,1,4,0,3,0,2
i07-operational-replication,generation_sfb__requirements,5,5,1,4,16,0,11,46,4,50,0,5,0,1,0,4
i07-operational-replication,generation_sfb__boundaries,5,5,5,5,5,0,28,48,2,50,0,5,0,2,1,2
i07-operational-replication,reuse_b__none,5,4,1,4,14,0,27,39,11,50,0,4,1,0,3,2
i07-operational-replication,reuse_b__operations,5,4,0,4,18,0,5,36,14,50,4,0,1,0,0,5
i07-operational-replication,reuse_b__requirements,5,5,0,5,18,0,4,48,2,50,1,4,0,3,0,2
i07-operational-replication,reuse_b__boundaries,5,5,1,4,14,0,19,47,3,50,5,0,0,2,0,3
i07-operational-replication,reuse_sb__none,5,5,4,5,6,0,32,49,1,50,2,3,0,1,3,1
i07-operational-replication,reuse_sb__operations,5,5,0,5,18,0,8,45,5,50,5,0,0,0,0,5
i07-operational-replication,reuse_sb__requirements,5,5,0,5,16,0,0,45,5,50,5,0,0,0,0,5
i07-operational-replication,reuse_sb__boundaries,5,5,2,5,8,0,19,48,2,50,5,0,0,3,0,2
