condition,securityStrategy,i06FunctionalRateDelta,i06IssueDeltaLower,i06IssueDeltaUpper,i06OversizedLineFailureRateDelta,i06OversizedLineDirection,i07FunctionalRateDelta,i07IssueDeltaLower,i07IssueDeltaUpper,i07OversizedLineFailureRateDelta,i07OversizedLineDirection,fewerTotalFailuresInBothDespiteMissing,fewerOversizedLineFailuresInBoth
generation_s__operations,operations,0.0,-4.800000000000001,-4.2,-1.0,decreased,-0.19999999999999996,-4.4,-3.1999999999999993,-0.6,decreased,True,True
generation_s__requirements,requirements,-0.19999999999999996,-5.6000000000000005,-4.6,-0.4,decreased,0.0,-6.0,-5.3999999999999995,-0.6,decreased,True,True
generation_s__boundaries,boundaries,0.0,-3.0,-1.7999999999999998,0.0,equal,-0.19999999999999996,-3.0,-2.0,0.0,equal,True,False
generation_sfb__operations,operations,0.0,-5.4,-4.4,-1.0,decreased,0.0,-3.8,-3.3999999999999995,-0.19999999999999996,decreased,True,True
generation_sfb__requirements,requirements,-0.19999999999999996,-5.2,-4.199999999999999,-0.19999999999999996,decreased,-0.19999999999999996,-5.3999999999999995,-4.6,0.0,equal,True,False
generation_sfb__boundaries,boundaries,0.0,-1.7999999999999998,-0.5999999999999996,0.0,equal,0.0,-2.0,-1.5999999999999996,0.0,equal,True,False
reuse_b__operations,operations,-0.19999999999999996,-6.4,-5.6,-0.8,decreased,0.0,-6.6,-1.6000000000000005,,unresolved,True,False
reuse_b__requirements,requirements,-0.19999999999999996,-6.6000000000000005,-5.6,-0.4,decreased,0.19999999999999996,-6.8,-4.2,,unresolved,True,False
reuse_b__boundaries,boundaries,0.0,-2.8,-1.5999999999999996,-0.8,decreased,0.0,-3.8,-1.0,,unresolved,True,False
reuse_sb__operations,operations,0.0,-5.4,-3.8000000000000003,-0.8,decreased,0.0,-5.0,-3.8000000000000003,-0.6,decreased,True,True
reuse_sb__requirements,requirements,0.0,-6.3999999999999995,-5.6000000000000005,-0.4,decreased,0.0,-6.6,-5.4,-0.6,decreased,True,True
reuse_sb__boundaries,boundaries,0.0,-2.0,-0.7999999999999998,-0.8,decreased,0.0,-2.8,-2.2,-0.6,decreased,True,True
