test,selectedArtifacts,completePassFailTriplets,stableTriplets,unresolvedOrUnavailableArtifacts
unit.emptyBoardInitially,32,31,31,1
unit.saveAddsEntry,32,31,31,1
unit.parallelListsAligned,32,31,31,1
unit.boardSortedDescendingByPoints,32,31,31,1
unit.entriesPersistAcrossSessions,32,31,31,1
unit.emptyPersistRobust,32,31,31,1
unit.rankingPreservedAfterReload,32,31,31,1
invoked.recordsRealScore,32,31,31,1
invoked.recordsRealSurvivalTime,32,31,31,1
invoked.recordsRealPlayerName,32,31,31,1
invoked.recordRunEndAddsExactlyOneEntry,32,31,31,1
autonomous.runEndRecordsScoreWithoutHelp,32,31,31,1
autonomous.recordedNameIsTheRealPlayersName,32,31,31,1
autonomous.noPhantomEntriesWithoutRunEnd,32,31,31,1
autonomous.recordedSurvivalTimeIsTheRealElapsedTime,32,31,31,1
autonomous.secondRunAlsoRecordedAndBoardSortedDescending,32,31,31,1
security_v1.validRecordRoundTrip,32,31,31,1
security_v1.rejectsNegativeScore,32,31,31,1
security_v1.rejectsNegativeTime,32,31,31,1
security_v1.rejectsNullName,32,31,31,1
security_v1.rejectsBlankName,32,31,31,1
security_v1.rejectsExcessiveName,32,31,31,1
security_v1.boundsRetainedEntries,32,31,31,1
security_v1.malformedStoreDoesNotCrash,32,31,31,1
security_v1.oversizedPhysicalLine,32,31,31,1
security_v1.nativeDeserializationCanary,32,31,31,1
security_v1.largePersistedRecordSet,32,13,13,19
