runId,condition,submission,status,detail,requestSha256
i09-generic-acquisition__reuse_sb__task_only__r1,reuse_sb__task_only,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,ca4f650b5680a22823dd3ce714884e60c0cdd67483aa86ae0b054dfd08a23365
i09-generic-acquisition__generation_s__task_only__r1,generation_s__task_only,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",16323d42f78c19d2fe9bb2588163db087e87c02e1b19f77bded9956081b18f7a
i09-generic-acquisition__reuse_sb__requirements__r1,reuse_sb__requirements,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,697697be87a7661be80fc4444fb20611ab25efbf6f38ad37f43349e414821887
i09-generic-acquisition__generation_s__requirements__r1,generation_s__requirements,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,fef6b800583ba52e6844706cf9d1c3def749c37612c945adb2828ad165e2085d
i09-generic-acquisition__generation_s__requirements__r1,generation_s__requirements,4,invalid_changes,ApoMarioHighscore.java: old_text matches 0 times; provide one unique exact anchor,954573ed06b1c551678b3bfd65507d98e6a3686f4d701eeae25a6fb28a991937
i09-generic-acquisition__reuse_sb__none__r2,reuse_sb__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,3e67e12d1294f5de1b632d7c9d179be53182fda69d435e2d4d836f687985f147
i09-generic-acquisition__reuse_sb__task_only__r3,reuse_sb__task_only,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,c488b10336c523a0079d4cc32e8c77f56accaf4a847277fdd116c8f5f98dead3
i09-generic-acquisition__generation_s__requirements__r4,generation_s__requirements,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",3b71ae66e46ee43fde688ba539399100030fccfabd1b8451bcca3d88ec638cf9
i09-generic-acquisition__generation_s__requirements__r5,generation_s__requirements,1,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,1af8eb9fbb983e3a4d61b71d059a81f1718c9e3f07c2732c74a4bae34b553722
i09-generic-acquisition__reuse_sb__task_only__r5,reuse_sb__task_only,1,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,3f79ed289f6fad226f2295da1379f4d2fd96fb20157272b9713f50b5fe9825e2
