runId,condition,test,category,detail,report,reportSha256,responseSha256
i09-generic-acquisition__reuse_sb__catalog__r1,reuse_sb__catalog,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__reuse_sb__catalog__r1/submission-3/evaluation/report.json,941d16579bac6428d1d63a112f03fa7c5cb1e6bb1e259aae278a65ea318c9b4d,cc4b75ac319b48d81a49a3de8325132696d53e1308895d58732991bcb81fe73c
i09-generic-acquisition__reuse_sb__task_only__r1,reuse_sb__task_only,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__reuse_sb__task_only__r1/submission-2/evaluation/report.json,ee0a8bfde966fff538a0bb03895852db642f665e5e6375c0b70a9b6a8a726edc,6b3747f68fe1b25a545fff9137bff647ea9b8cfe9ff175da2033d6458a34f43a
i09-generic-acquisition__reuse_sb__task_only__r1,reuse_sb__task_only,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__reuse_sb__task_only__r1/submission-2/evaluation/report.json,ee0a8bfde966fff538a0bb03895852db642f665e5e6375c0b70a9b6a8a726edc,6b3747f68fe1b25a545fff9137bff647ea9b8cfe9ff175da2033d6458a34f43a
i09-generic-acquisition__reuse_sb__task_only__r1,reuse_sb__task_only,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__reuse_sb__task_only__r1/submission-2/evaluation/report.json,ee0a8bfde966fff538a0bb03895852db642f665e5e6375c0b70a9b6a8a726edc,6b3747f68fe1b25a545fff9137bff647ea9b8cfe9ff175da2033d6458a34f43a
i09-generic-acquisition__reuse_sb__task_only__r1,reuse_sb__task_only,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__reuse_sb__task_only__r1/submission-2/evaluation/report.json,ee0a8bfde966fff538a0bb03895852db642f665e5e6375c0b70a9b6a8a726edc,6b3747f68fe1b25a545fff9137bff647ea9b8cfe9ff175da2033d6458a34f43a
i09-generic-acquisition__reuse_sb__task_only__r1,reuse_sb__task_only,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__reuse_sb__task_only__r1/submission-2/evaluation/report.json,ee0a8bfde966fff538a0bb03895852db642f665e5e6375c0b70a9b6a8a726edc,6b3747f68fe1b25a545fff9137bff647ea9b8cfe9ff175da2033d6458a34f43a
i09-generic-acquisition__reuse_sb__task_only__r1,reuse_sb__task_only,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__reuse_sb__task_only__r1/submission-2/evaluation/report.json,ee0a8bfde966fff538a0bb03895852db642f665e5e6375c0b70a9b6a8a726edc,6b3747f68fe1b25a545fff9137bff647ea9b8cfe9ff175da2033d6458a34f43a
i09-generic-acquisition__generation_s__none__r1,generation_s__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__generation_s__none__r1/submission-2/evaluation/report.json,737eeaaeaeade4ae771dd79e9f9c77560a99c07c68151c118c8950dcf594e1d0,173604c8d42fa86c668630fd93670f8f86cebf88778d33579e8c6e3c96b82ab5
i09-generic-acquisition__generation_s__none__r1,generation_s__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__generation_s__none__r1/submission-2/evaluation/report.json,737eeaaeaeade4ae771dd79e9f9c77560a99c07c68151c118c8950dcf594e1d0,173604c8d42fa86c668630fd93670f8f86cebf88778d33579e8c6e3c96b82ab5
i09-generic-acquisition__generation_s__none__r1,generation_s__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__generation_s__none__r1/submission-2/evaluation/report.json,737eeaaeaeade4ae771dd79e9f9c77560a99c07c68151c118c8950dcf594e1d0,173604c8d42fa86c668630fd93670f8f86cebf88778d33579e8c6e3c96b82ab5
i09-generic-acquisition__generation_s__none__r1,generation_s__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__generation_s__none__r1/submission-2/evaluation/report.json,737eeaaeaeade4ae771dd79e9f9c77560a99c07c68151c118c8950dcf594e1d0,173604c8d42fa86c668630fd93670f8f86cebf88778d33579e8c6e3c96b82ab5
i09-generic-acquisition__generation_s__none__r1,generation_s__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__generation_s__none__r1/submission-2/evaluation/report.json,737eeaaeaeade4ae771dd79e9f9c77560a99c07c68151c118c8950dcf594e1d0,173604c8d42fa86c668630fd93670f8f86cebf88778d33579e8c6e3c96b82ab5
i09-generic-acquisition__generation_s__none__r1,generation_s__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i09-generic-acquisition/runs/i09-generic-acquisition__generation_s__none__r1/submission-2/evaluation/report.json,737eeaaeaeade4ae771dd79e9f9c77560a99c07c68151c118c8950dcf594e1d0,173604c8d42fa86c668630fd93670f8f86cebf88778d33579e8c6e3c96b82ab5
