runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i09-generic-acquisition__generation_s__catalog__r1,generation_s__catalog,1,completed,True,1,pass,passthrough,fail,recorded,0,,ApoMarioHighscore.java:77: String name = chosen.getTeamName();
i09-generic-acquisition__generation_s__catalog__r2,generation_s__catalog,2,completed,True,2,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:41: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:52: String name = player.getTeamName(); | ApoMarioHighscore.java:54: if (name == null || name.trim().length() == 0) name = ""Player""; | ApoMarioHighscoreView.java:29: if (names.isEmpty()) g.drawString(""No runs recorded"", width / 2 - 45, height / 2);"
i09-generic-acquisition__generation_s__catalog__r3,generation_s__catalog,3,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:37: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:55: String name = chosen.getTeamName(); | ApoMarioHighscore.java:95: if (names.isEmpty()) g.drawString(""No runs recorded"", 34, y);"
i09-generic-acquisition__generation_s__catalog__r4,generation_s__catalog,4,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:40: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:79: String name = player.getTeamName(); | ApoMarioHighscore.java:80: if (name == null || name.trim().length() == 0) name = ""Player"";"
i09-generic-acquisition__generation_s__catalog__r5,generation_s__catalog,5,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:39: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:90: String name = selected.getTeamName();"
i09-generic-acquisition__generation_s__none__r1,generation_s__none,1,completed,True,2,pass,fallback,fail,recorded,0,,"ApoMarioLevel.java:1182: String name = player.getTeamName(); | ApoMarioHighscore.java:39: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:125: String name = player.getTeamName();"
i09-generic-acquisition__generation_s__none__r2,generation_s__none,2,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:41: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:42: if (name.length() == 0) name = ""Player""; | ApoMarioHighscore.java:95: String name = best.getTeamName();"
i09-generic-acquisition__generation_s__none__r3,generation_s__none,3,completed,True,3,pass,fallback,fail,recorded,0,,"ApoMarioLevel.java:1186: String name = player.getTeamName(); | ApoMarioLevel.java:1187: if (name == null || name.trim().length() == 0) name = ""Human""; | ApoMarioHighscore.java:43: String name = player.getTeamName(); | ApoMarioHighscore.java:51: String name = playerName == null ? ""Unknown"" : playerName.trim();"
i09-generic-acquisition__generation_s__none__r4,generation_s__none,4,completed,True,3,pass,fallback,fail,recorded,0,,"ApoMarioLevel.java:1184: String name = selected.getTeamName(); | ApoMarioLevel.java:1185: if (name == null || name.trim().length() == 0) name = ""Human""; | ApoMarioHighscore.java:42: String name = selected.getTeamName(); | ApoMarioHighscore.java:43: if (name == null || name.trim().length() == 0) name = ""Human""; | ApoMarioHighscore.java:48: String name = playerName == null ? ""Unknown"" : playerName.trim(); | ApoMarioHighscore.java:49: if (name.length() == 0) name = ""Unknown"";"
i09-generic-acquisition__generation_s__none__r5,generation_s__none,5,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:39: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:74: String name = player.getTeamName(); | ApoMarioHighscore.java:76: if (name == null || name.trim().length() == 0) name = ""Player"";"
i09-generic-acquisition__generation_s__requirements__r1,generation_s__requirements,1,completed,True,5,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:91: String name = player.getTeamName(); | ApoMarioHighscore.java:92: if (name == null || name.trim().length() == 0) name = ""Player"";"
