study,test,cwe,generation_s__none failed,generation_s__none unresolved,generation_s__none passed,generation_s__requirements failed,generation_s__requirements unresolved,generation_s__requirements passed,generation_s__task_only failed,generation_s__task_only unresolved,generation_s__task_only passed,generation_s__catalog failed,generation_s__catalog unresolved,generation_s__catalog passed,reuse_sb__none failed,reuse_sb__none unresolved,reuse_sb__none passed,reuse_sb__requirements failed,reuse_sb__requirements unresolved,reuse_sb__requirements passed,reuse_sb__task_only failed,reuse_sb__task_only unresolved,reuse_sb__task_only passed,reuse_sb__catalog failed,reuse_sb__catalog unresolved,reuse_sb__catalog passed
i09-generic-acquisition,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i09-generic-acquisition,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,0,0,5,4,0,1,2,0,3
i09-generic-acquisition,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,0,0,5,1,0,4,5,0,0,5,0,0,0,0,5,1,0,4,1,0,4
i09-generic-acquisition,rejectsNullName,"CWE-20, CWE-476",5,0,0,0,0,5,1,0,4,5,0,0,5,0,0,0,0,5,2,0,3,1,0,4
i09-generic-acquisition,rejectsBlankName,CWE-20,5,0,0,0,0,5,1,0,4,5,0,0,5,0,0,0,0,5,2,0,3,1,0,4
i09-generic-acquisition,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,4,0,1,2,0,3,5,0,0,5,0,0,0,0,5,2,0,3,3,0,2
i09-generic-acquisition,boundsRetainedEntries,CWE-770,3,0,2,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i09-generic-acquisition,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i09-generic-acquisition,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,3,0,2,5,0,0,0,0,5,3,0,2,1,0,4,5,0,0,5,0,0
i09-generic-acquisition,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i09-generic-acquisition,largePersistedRecordSet,"CWE-400, CWE-770",5,0,0,0,2,3,0,3,2,0,3,2,3,2,0,0,3,2,0,1,4,0,2,3
i09-generic-acquisition,Total (10 issue checks),,38,0,12,12,2,36,15,3,32,25,3,22,31,2,17,1,3,46,16,1,33,13,2,35
i09-generic-acquisition,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
