condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
generation_s__none,generation_s,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_s__none,generation_s,none,Retention policy,1,5,3,2,0,0.6,0.6,0.2307242812760128,0.882379225767352,,
generation_s__none,generation_s,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_s__none,generation_s,none,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_s__none,generation_s,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_s__requirements,generation_s,requirements,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_s__requirements,generation_s,requirements,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-0.6,-0.6
generation_s__requirements,generation_s,requirements,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__requirements,generation_s,requirements,Resource stress,2,5,3,0,2,0.6,1.0,,,-0.4,0.0
generation_s__requirements,generation_s,requirements,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__task_only,generation_s,task_only,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_s__task_only,generation_s,task_only,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-0.6,-0.6
generation_s__task_only,generation_s,task_only,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__task_only,generation_s,task_only,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_s__task_only,generation_s,task_only,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__catalog,generation_s,catalog,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_s__catalog,generation_s,catalog,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-0.6,-0.6
generation_s__catalog,generation_s,catalog,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__catalog,generation_s,catalog,Resource stress,2,5,0,2,3,0.0,0.6,,,-1.0,-0.4
generation_s__catalog,generation_s,catalog,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__none,reuse_sb,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
reuse_sb__none,reuse_sb,none,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_sb__none,reuse_sb,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_sb__none,reuse_sb,none,Resource stress,2,5,3,0,2,0.6,1.0,,,,
reuse_sb__none,reuse_sb,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
reuse_sb__requirements,reuse_sb,requirements,Input policy,5,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,-1.0,-1.0
reuse_sb__requirements,reuse_sb,requirements,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__requirements,reuse_sb,requirements,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__requirements,reuse_sb,requirements,Resource stress,2,5,1,2,2,0.2,0.6,,,-0.8,0.0
reuse_sb__requirements,reuse_sb,requirements,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__task_only,reuse_sb,task_only,Input policy,5,5,4,1,0,0.8,0.8,0.37553462976252533,0.9637758913675698,-0.19999999999999996,-0.19999999999999996
reuse_sb__task_only,reuse_sb,task_only,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__task_only,reuse_sb,task_only,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__task_only,reuse_sb,task_only,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.4
reuse_sb__task_only,reuse_sb,task_only,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__catalog,reuse_sb,catalog,Input policy,5,5,3,2,0,0.6,0.6,0.2307242812760128,0.882379225767352,-0.4,-0.4
reuse_sb__catalog,reuse_sb,catalog,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__catalog,reuse_sb,catalog,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
reuse_sb__catalog,reuse_sb,catalog,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.4
reuse_sb__catalog,reuse_sb,catalog,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
