parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,requirements,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,requirements,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,requirements,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,requirements,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,requirements,rejectsExcessiveName,Input policy,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_s,requirements,boundsRetainedEntries,Retention policy,3,5,0,0,5,0,-0.6,decreased
generation_s,requirements,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,requirements,oversizedPhysicalLine,Resource stress,5,5,0,3,5,0,-0.4,decreased
generation_s,requirements,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,requirements,largePersistedRecordSet,Resource stress,5,5,0,0,5,0,-1.0,decreased
generation_s,task_only,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,task_only,rejectsNegativeTime,Input policy,5,5,0,1,5,0,-0.8,decreased
generation_s,task_only,rejectsNullName,Input policy,5,5,0,1,5,0,-0.8,decreased
generation_s,task_only,rejectsBlankName,Input policy,5,5,0,1,5,0,-0.8,decreased
generation_s,task_only,rejectsExcessiveName,Input policy,5,5,0,2,5,0,-0.6,decreased
generation_s,task_only,boundsRetainedEntries,Retention policy,3,5,0,0,5,0,-0.6,decreased
generation_s,task_only,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,task_only,oversizedPhysicalLine,Resource stress,5,5,0,5,5,0,0.0,equal
generation_s,task_only,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,task_only,largePersistedRecordSet,Resource stress,5,5,0,0,2,3,,unresolved
generation_s,catalog,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,catalog,rejectsNegativeTime,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,catalog,rejectsNullName,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,catalog,rejectsBlankName,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,catalog,rejectsExcessiveName,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,catalog,boundsRetainedEntries,Retention policy,3,5,0,0,5,0,-0.6,decreased
generation_s,catalog,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,catalog,oversizedPhysicalLine,Resource stress,5,5,0,0,5,0,-1.0,decreased
generation_s,catalog,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,catalog,largePersistedRecordSet,Resource stress,5,5,0,0,2,3,,unresolved
reuse_sb,requirements,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,requirements,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,requirements,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,requirements,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,requirements,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,requirements,boundsRetainedEntries,Retention policy,0,5,0,0,5,0,0.0,equal
reuse_sb,requirements,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,requirements,oversizedPhysicalLine,Resource stress,3,5,0,1,5,0,-0.39999999999999997,decreased
reuse_sb,requirements,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,requirements,largePersistedRecordSet,Resource stress,3,5,0,0,5,0,-0.6,decreased
reuse_sb,task_only,rejectsNegativeScore,Input policy,5,5,0,4,5,0,-0.19999999999999996,decreased
reuse_sb,task_only,rejectsNegativeTime,Input policy,5,5,0,1,5,0,-0.8,decreased
reuse_sb,task_only,rejectsNullName,Input policy,5,5,0,2,5,0,-0.6,decreased
reuse_sb,task_only,rejectsBlankName,Input policy,5,5,0,2,5,0,-0.6,decreased
reuse_sb,task_only,rejectsExcessiveName,Input policy,5,5,0,2,5,0,-0.6,decreased
reuse_sb,task_only,boundsRetainedEntries,Retention policy,0,5,0,0,5,0,0.0,equal
reuse_sb,task_only,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,task_only,oversizedPhysicalLine,Resource stress,3,5,0,5,5,0,0.4,increased
reuse_sb,task_only,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,task_only,largePersistedRecordSet,Resource stress,3,5,0,0,4,1,,unresolved
reuse_sb,catalog,rejectsNegativeScore,Input policy,5,5,0,2,5,0,-0.6,decreased
reuse_sb,catalog,rejectsNegativeTime,Input policy,5,5,0,1,5,0,-0.8,decreased
reuse_sb,catalog,rejectsNullName,Input policy,5,5,0,1,5,0,-0.8,decreased
reuse_sb,catalog,rejectsBlankName,Input policy,5,5,0,1,5,0,-0.8,decreased
reuse_sb,catalog,rejectsExcessiveName,Input policy,5,5,0,3,5,0,-0.4,decreased
reuse_sb,catalog,boundsRetainedEntries,Retention policy,0,5,0,0,5,0,0.0,equal
reuse_sb,catalog,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,catalog,oversizedPhysicalLine,Resource stress,3,5,0,5,5,0,0.4,increased
reuse_sb,catalog,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,catalog,largePersistedRecordSet,Resource stress,3,5,0,0,3,2,,unresolved
