runId,condition,submission,status,detail,requestSha256
i10-agentic-delivery__generation_s__agentic__static__r1,generation_s__agentic__static,2,invalid_changes,Changes must be arrays,e4e0e8d9fc5bce248f3906ac16ff73c47995451d8eb77467691d0f9af750454b
i10-agentic-delivery__generation_s__agentic__none__r1,generation_s__agentic__none,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,1bc73229f174ac8c3f20a596be361d7f1249177906dff3ed5867415d5b0add81
i10-agentic-delivery__generation_s__single_shot__none__r1,generation_s__single_shot__none,1,invalid_changes,"Missing required game integration edits: ApoMarioMenu.java, ApoMarioPanel.java",ea3878a6f4e8fb6b17d61a28e274d7cbeb66f992983936969739c48658273126
i10-agentic-delivery__generation_s__agentic__adaptive__r1,generation_s__agentic__adaptive,2,invalid_changes,Changes must be arrays,3adba174f974364743281b4bacaef7392e9f57f5d51db4150c7be8bc440ded47
i10-agentic-delivery__reuse_sb__agentic__adaptive__r1,reuse_sb__agentic__adaptive,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,def088d23494fc0537410fe856092a3c36a122760a10551ac2aabcc2b1c3b832
i10-agentic-delivery__reuse_sb__agentic__adaptive__r1,reuse_sb__agentic__adaptive,2,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,a3034b05b988d696253e2618c80c5ef329744b5bf18c601dfd4a38f1f0b4624e
i10-agentic-delivery__reuse_sb__agentic__adaptive__r1,reuse_sb__agentic__adaptive,4,invalid_changes,Changes must be arrays,982288bb41282874f01c1f44cd83d4f17c234b7148171198417df3871b75385f
i10-agentic-delivery__reuse_sb__agentic__adaptive__r1,reuse_sb__agentic__adaptive,5,invalid_changes,Changes must be arrays,972bb788a62a913c0924ce93039e56d728abe814421b010f3d2e04e51018704f
i10-agentic-delivery__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,1,invalid_changes,"Missing required game integration edits: ApoMarioLevel.java, ApoMarioMenu.java",0ee7b4f7012cdc093615d8bbac04041dca526548cd3b7a78aea99e8bb4299f67
i10-agentic-delivery__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,2,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,99571eb9267658a2f2ed6dc00c96da3d6ee864c4426d5f93abe51c855fb7045e
i10-agentic-delivery__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,4,invalid_changes,Changes must be arrays,f357b08606dac78b622cb0acaeb285eb03e0bf49eaec31482b4e9c21549601ab
i10-agentic-delivery__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,5,invalid_changes,Changes must be arrays,27adaa024c7e0c9edb3ee96f7a32e4e08c9d37df7281b001a7b79e25bc2de412
i10-agentic-delivery__generation_s__single_shot__static__r2,generation_s__single_shot__static,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,9a8d3456aaca1533aeb26583faa663c14223390d7155159ad1e250a071cdb9b2
i10-agentic-delivery__generation_s__single_shot__static__r2,generation_s__single_shot__static,2,invalid_changes,"Missing required game integration edits: ApoMarioLevel.java, ApoMarioPanel.java",f72a61b35f25558b102b15ec1e55d1917ede0c913e56609cfe05e578fd624c5a
i10-agentic-delivery__generation_s__agentic__static__r2,generation_s__agentic__static,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,b9569344f235e9e3fec51b51a234a3e0a9c65a4f2b230b052ddc0dd097ab6f49
i10-agentic-delivery__generation_s__agentic__static__r2,generation_s__agentic__static,2,invalid_changes,Changes must be arrays,8c563ad506ff7e240a6e80ac2f53a7eda8617406978b5c6a639df0bfa406d24d
i10-agentic-delivery__generation_s__agentic__static__r2,generation_s__agentic__static,5,invalid_changes,Changes must be arrays,d8640c65f1dcf84f024a7960b3d464f588c8677a393649f95fe6f24f57fd59ee
i10-agentic-delivery__reuse_sb__agentic__static__r2,reuse_sb__agentic__static,2,invalid_changes,Changes must be arrays,e6fa29a5f866544cb3afdb602fc32157f2a410c9f389847adf4e5524fc5532cc
i10-agentic-delivery__generation_s__agentic__adaptive__r2,generation_s__agentic__adaptive,2,invalid_changes,Changes must be arrays,7114ea6896d5afb2def030dbcd9eb5daddd3e21d3623f10988ddee153f35d7bc
i10-agentic-delivery__reuse_sb__agentic__adaptive__r2,reuse_sb__agentic__adaptive,2,invalid_changes,Changes must be arrays,ccf71e66eb24205f49b637646a17b7056350453279b4239308f815f8b991f53b
i10-agentic-delivery__generation_s__agentic__none__r2,generation_s__agentic__none,2,invalid_changes,Changes must be arrays,ab395e32b266023e0a13c0f5391410668aed363a5ef699b25b007230ce0cfc27
i10-agentic-delivery__generation_s__single_shot__static__r3,generation_s__single_shot__static,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,a49170a078d30261f9689e0c2080d8fa5d688a6c8665ef1430e1220c358b5ae3
i10-agentic-delivery__generation_s__agentic__none__r3,generation_s__agentic__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,2c78cf8ff51b803eb4cbf51b6effa60822c5df3c00d32ec683898391e8f98343
i10-agentic-delivery__generation_s__agentic__none__r3,generation_s__agentic__none,2,invalid_changes,Changes must be arrays,e55131126d702f57e70d7b09bd38769787f5c162bf7fd7710d70549fa1715e0f
i10-agentic-delivery__generation_s__agentic__adaptive__r3,generation_s__agentic__adaptive,2,invalid_changes,Changes must be arrays,3faa044979182eeb02e3161d3104dffe510f207eea9a1a1928fd8f12335ff60c
