runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i10-agentic-delivery__generation_s__agentic__adaptive__r1,generation_s__agentic__adaptive,1,completed,True,3,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:67: String name = player.getTeamName(); | ApoMarioHighscore.java:68: if (name == null || name.trim().length() == 0) name = ""Player"";"
i10-agentic-delivery__generation_s__agentic__adaptive__r2,generation_s__agentic__adaptive,2,completed,True,4,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:53: String name = player.getTeamName(); | ApoMarioHighscore.java:54: if (name == null || name.trim().length() == 0) name = ""Player"";"
i10-agentic-delivery__generation_s__agentic__adaptive__r3,generation_s__agentic__adaptive,3,budget_exhausted,False,5,pass,passthrough,pass,rejected_at_store,2,runEndRecordsScoreWithoutHelp recordedNameIsTheRealPlayersName recordedSurvivalTimeIsTheRealElapsedTime secondRunAlsoRecordedAndBoardSortedDescending,ApoMarioLevel.java:1183: String name = player.getTeamName(); | ApoMarioHighscore.java:61: String name = player.getTeamName();
i10-agentic-delivery__generation_s__agentic__adaptive__r4,generation_s__agentic__adaptive,4,completed,True,4,pass,fallback,pass,recorded,0,,"ApoMarioLevel.java:1182: String name = player.getTeamName(); | ApoMarioLevel.java:1183: if (name == null || name.length() == 0) name = ""Player 1""; | ApoMarioHighscore.java:45: if (player == null || player.getTeamName() == null || player.getTeamName().length() == 0) return; | ApoMarioHighscore.java:46: storeRun(player.getPoints(), level.getPassedTime(), player.getTeamName());"
i10-agentic-delivery__generation_s__agentic__adaptive__r5,generation_s__agentic__adaptive,5,budget_exhausted,False,5,pass,fallback,pass,recorded,2,runEndRecordsScoreWithoutHelp recordedNameIsTheRealPlayersName noPhantomEntriesWithoutRunEnd recordedSurvivalTimeIsTheRealElapsedTime secondRunAlsoRecordedAndBoardSortedDescending,"ApoMarioLevel.java:1186: String name = player.getTeamName(); | ApoMarioLevel.java:1187: if (name == null || name.length() == 0) name = ""Player"" + (i + 1); | ApoMarioPanel.java:546: String name = p.getTeamName(); if (name == null || name.length() == 0) name = ""Player"" + (i + 1); | ApoMarioHighscore.java:81: String name = player.getTeamName(); | ApoMarioHighscore.java:82: if (name == null || name.length() == 0) name = ""Player"" + (i + 1);"
i10-agentic-delivery__generation_s__agentic__none__r1,generation_s__agentic__none,1,completed,True,2,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:42: if (playerName == null || playerName.trim().length() == 0) playerName = ""Player""; | ApoMarioHighscore.java:70: String name = player.getTeamName(); | ApoMarioHighscore.java:71: if (name == null || name.trim().length() == 0) name = ""Player"";"
i10-agentic-delivery__generation_s__agentic__none__r2,generation_s__agentic__none,2,completed,True,3,pass,fallback,pass,recorded,0,,"ApoMarioLevel.java:1180: String name = player.getTeamName(); | ApoMarioLevel.java:1181: if (name == null || name.trim().length() == 0) name = ""Player""; | ApoMarioHighscore.java:55: String name = player.getTeamName(); | ApoMarioHighscore.java:56: if (name == null || name.trim().length() == 0) name = ""Player"";"
i10-agentic-delivery__generation_s__agentic__none__r3,generation_s__agentic__none,3,completed,True,4,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:31: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:64: storeRun(selected.getPoints(), level.getPassedTime(), selected.getTeamName()); | ApoMarioHighscore.java:131: private Entry(int score, int time, String name) { this.score = score; this.time = time; this.name = name == null ? ""Player"" : name; }"
i10-agentic-delivery__generation_s__agentic__none__r4,generation_s__agentic__none,4,completed,True,4,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:34: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:64: String name = player.getTeamName(); | ApoMarioHighscore.java:65: if (name == null || name.trim().length() == 0) name = ""Player"";"
i10-agentic-delivery__generation_s__agentic__none__r5,generation_s__agentic__none,5,completed,True,3,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:68: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:110: String name = player.getTeamName(); | ApoMarioHighscore.java:111: if (name == null || name.trim().length() == 0) name = ""Player"";"
