condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
generation_s__single_shot__none,generation_s,none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,,
generation_s__single_shot__none,generation_s,none,Retention policy,1,5,3,2,0,0.6,0.6,0.2307242812760128,0.882379225767352,,
generation_s__single_shot__none,generation_s,none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_s__single_shot__none,generation_s,none,Resource stress,2,5,4,0,1,0.8,1.0,,,,
generation_s__single_shot__none,generation_s,none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,,
generation_s__single_shot__static,generation_s,single_shot+static,Input policy,5,5,4,1,0,0.8,0.8,0.37553462976252533,0.9637758913675698,-0.19999999999999996,-0.19999999999999996
generation_s__single_shot__static,generation_s,single_shot+static,Retention policy,1,5,1,4,0,0.2,0.2,0.03622410863243014,0.6244653702374747,-0.39999999999999997,-0.39999999999999997
generation_s__single_shot__static,generation_s,single_shot+static,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__single_shot__static,generation_s,single_shot+static,Resource stress,2,5,0,0,5,0.0,1.0,,,-1.0,0.19999999999999996
generation_s__single_shot__static,generation_s,single_shot+static,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__agentic__none,generation_s,agentic+none,Input policy,5,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.0
generation_s__agentic__none,generation_s,agentic+none,Retention policy,1,5,1,4,0,0.2,0.2,0.03622410863243014,0.6244653702374747,-0.39999999999999997,-0.39999999999999997
generation_s__agentic__none,generation_s,agentic+none,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__agentic__none,generation_s,agentic+none,Resource stress,2,5,5,0,0,1.0,1.0,0.5655175352168251,1.0,0.0,0.19999999999999996
generation_s__agentic__none,generation_s,agentic+none,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476,0.0,0.0
generation_s__agentic__static,generation_s,agentic+static,Input policy,5,5,3,2,0,0.6,0.6,0.2307242812760128,0.882379225767352,-0.4,-0.4
