parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,single_shot+static,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,single_shot+static,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,single_shot+static,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,single_shot+static,rejectsBlankName,Input policy,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_s,single_shot+static,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,single_shot+static,boundsRetainedEntries,Retention policy,3,5,0,1,5,0,-0.39999999999999997,decreased
generation_s,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,single_shot+static,oversizedPhysicalLine,Resource stress,4,5,0,0,5,0,-0.8,decreased
generation_s,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,single_shot+static,largePersistedRecordSet,Resource stress,1,2,3,0,3,2,,unresolved
generation_s,agentic+none,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,agentic+none,rejectsNegativeTime,Input policy,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_s,agentic+none,rejectsNullName,Input policy,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_s,agentic+none,rejectsBlankName,Input policy,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_s,agentic+none,rejectsExcessiveName,Input policy,5,5,0,5,5,0,0.0,equal
generation_s,agentic+none,boundsRetainedEntries,Retention policy,3,5,0,1,5,0,-0.39999999999999997,decreased
generation_s,agentic+none,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,agentic+none,oversizedPhysicalLine,Resource stress,4,5,0,5,5,0,0.19999999999999996,increased
generation_s,agentic+none,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,agentic+none,largePersistedRecordSet,Resource stress,1,2,3,4,4,1,,unresolved
generation_s,agentic+static,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static,rejectsBlankName,Input policy,5,5,0,3,5,0,-0.4,decreased
generation_s,agentic+static,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+static,boundsRetainedEntries,Retention policy,3,5,0,0,5,0,-0.6,decreased
generation_s,agentic+static,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static,oversizedPhysicalLine,Resource stress,4,5,0,0,5,0,-0.8,decreased
generation_s,agentic+static,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,agentic+static,largePersistedRecordSet,Resource stress,1,2,3,0,3,2,,unresolved
generation_s,agentic+adaptive,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+adaptive,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+adaptive,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,agentic+adaptive,rejectsBlankName,Input policy,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_s,agentic+adaptive,rejectsExcessiveName,Input policy,5,5,0,1,5,0,-0.8,decreased
