runId,condition,test,category,detail,report,reportSha256,responseSha256
i11-symbol-sidecar__generation_s__single_shot__static__r1,generation_s__single_shot__static,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i11-symbol-sidecar/runs/i11-symbol-sidecar__generation_s__single_shot__static__r1/submission-4/evaluation/report.json,975118f231877ad2dc00da8aefb801e9edaaf17d606e0040769d0e0ad541a5da,ccd0f9513e943def262262dd13047fda692eb2c12be98151ad917f56bf45bba6
i11-symbol-sidecar__generation_s__agentic__adaptive__r1,generation_s__agentic__adaptive,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i11-symbol-sidecar/runs/i11-symbol-sidecar__generation_s__agentic__adaptive__r1/submission-3/evaluation/report.json,10d72f5a9880b46cbfef98f79b2c17296587ed4dd244526d9c97fa8b26362c2f,4fcf21a8cbf402a06ffd77d5ffbc3ac87e45c36cd01c46bd063b643f1ac091f1
i11-symbol-sidecar__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i11-symbol-sidecar/runs/i11-symbol-sidecar__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9e2641ca06cbd97691c69cda14287779c640812bc62f59f05b366f7c64c1ecbd,1e9af2c8ef6c1657924e6b6d462759424bb9cb8cf74972a1bef91cbb9e5a2e0d
i11-symbol-sidecar__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i11-symbol-sidecar/runs/i11-symbol-sidecar__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9e2641ca06cbd97691c69cda14287779c640812bc62f59f05b366f7c64c1ecbd,1e9af2c8ef6c1657924e6b6d462759424bb9cb8cf74972a1bef91cbb9e5a2e0d
i11-symbol-sidecar__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i11-symbol-sidecar/runs/i11-symbol-sidecar__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9e2641ca06cbd97691c69cda14287779c640812bc62f59f05b366f7c64c1ecbd,1e9af2c8ef6c1657924e6b6d462759424bb9cb8cf74972a1bef91cbb9e5a2e0d
i11-symbol-sidecar__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i11-symbol-sidecar/runs/i11-symbol-sidecar__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9e2641ca06cbd97691c69cda14287779c640812bc62f59f05b366f7c64c1ecbd,1e9af2c8ef6c1657924e6b6d462759424bb9cb8cf74972a1bef91cbb9e5a2e0d
i11-symbol-sidecar__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i11-symbol-sidecar/runs/i11-symbol-sidecar__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9e2641ca06cbd97691c69cda14287779c640812bc62f59f05b366f7c64c1ecbd,1e9af2c8ef6c1657924e6b6d462759424bb9cb8cf74972a1bef91cbb9e5a2e0d
i11-symbol-sidecar__generation_s__single_shot__none__r1,generation_s__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i11-symbol-sidecar/runs/i11-symbol-sidecar__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9e2641ca06cbd97691c69cda14287779c640812bc62f59f05b366f7c64c1ecbd,1e9af2c8ef6c1657924e6b6d462759424bb9cb8cf74972a1bef91cbb9e5a2e0d
i11-symbol-sidecar__generation_s__single_shot__none__r1,generation_s__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i11-symbol-sidecar/runs/i11-symbol-sidecar__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,9e2641ca06cbd97691c69cda14287779c640812bc62f59f05b366f7c64c1ecbd,1e9af2c8ef6c1657924e6b6d462759424bb9cb8cf74972a1bef91cbb9e5a2e0d
i11-symbol-sidecar__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i11-symbol-sidecar/runs/i11-symbol-sidecar__generation_s__single_shot__none__r2/submission-3/evaluation/report.json,680b3ff30195172db74f4ac18ba18dffb3af00f7d8fe92a6a15d29f50bdd29ea,b8d3b32dc137e2afcdcd07b86adb8024985f2fda937cddf7ae7b9bb48b8ed0d7
