study,test,cwe,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,generation_s__agentic__adaptive failed,generation_s__agentic__adaptive unresolved,generation_s__agentic__adaptive passed
i11-symbol-sidecar,N per check,,3,3,3,3,3,3,3,3,3
i11-symbol-sidecar,rejectsNegativeScore,"CWE-20, CWE-1284",3,0,0,0,0,3,0,0,3
i11-symbol-sidecar,rejectsNegativeTime,"CWE-20, CWE-1284",3,0,0,0,0,3,0,0,3
i11-symbol-sidecar,rejectsNullName,"CWE-20, CWE-476",3,0,0,0,0,3,0,0,3
i11-symbol-sidecar,rejectsBlankName,CWE-20,3,0,0,2,0,1,1,0,2
i11-symbol-sidecar,rejectsExcessiveName,"CWE-20, CWE-1284",3,0,0,0,0,3,0,0,3
i11-symbol-sidecar,boundsRetainedEntries,CWE-770,3,0,0,0,0,3,0,0,3
i11-symbol-sidecar,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,3,0,0,3,0,0,3
i11-symbol-sidecar,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",3,0,0,1,0,2,0,0,3
i11-symbol-sidecar,nativeDeserializationCanary,CWE-502,0,0,3,0,0,3,0,0,3
i11-symbol-sidecar,largePersistedRecordSet,"CWE-400, CWE-770",2,1,0,0,3,0,0,2,1
i11-symbol-sidecar,Total (10 issue checks),,23,1,6,3,3,24,1,2,27
i11-symbol-sidecar,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,3,0,0,3,0,0,3
