runId,condition,test,category,detail,report,reportSha256,responseSha256
i12-gate-sidecar__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i12-gate-sidecar/runs/i12-gate-sidecar__generation_s__agentic__none__r1/submission-1/evaluation/report.json,c5ddeeb240196f48468cda4e9e5d89787e0a3394d25e3b139b1d095fb414b7bf,93034a228b99836c32652cf972f4ac49658f867b5c4eca345f4fd882d3b37111
i12-gate-sidecar__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i12-gate-sidecar/runs/i12-gate-sidecar__generation_s__agentic__none__r1/submission-1/evaluation/report.json,c5ddeeb240196f48468cda4e9e5d89787e0a3394d25e3b139b1d095fb414b7bf,93034a228b99836c32652cf972f4ac49658f867b5c4eca345f4fd882d3b37111
i12-gate-sidecar__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i12-gate-sidecar/runs/i12-gate-sidecar__generation_s__agentic__none__r1/submission-1/evaluation/report.json,c5ddeeb240196f48468cda4e9e5d89787e0a3394d25e3b139b1d095fb414b7bf,93034a228b99836c32652cf972f4ac49658f867b5c4eca345f4fd882d3b37111
i12-gate-sidecar__generation_s__agentic__none__r1,generation_s__agentic__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i12-gate-sidecar/runs/i12-gate-sidecar__generation_s__agentic__none__r1/submission-1/evaluation/report.json,c5ddeeb240196f48468cda4e9e5d89787e0a3394d25e3b139b1d095fb414b7bf,93034a228b99836c32652cf972f4ac49658f867b5c4eca345f4fd882d3b37111
i12-gate-sidecar__generation_s__agentic__none__r1,generation_s__agentic__none,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i12-gate-sidecar/runs/i12-gate-sidecar__generation_s__agentic__none__r1/submission-1/evaluation/report.json,c5ddeeb240196f48468cda4e9e5d89787e0a3394d25e3b139b1d095fb414b7bf,93034a228b99836c32652cf972f4ac49658f867b5c4eca345f4fd882d3b37111
i12-gate-sidecar__generation_s__agentic__none__r2,generation_s__agentic__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i12-gate-sidecar/runs/i12-gate-sidecar__generation_s__agentic__none__r2/submission-1/evaluation/report.json,f7f47ba6b8118eaf87483429f7f987d8cc828d120e36ddccfede16979cbaca8b,8708508eeff685c10ed81a95f957738234e546e1f14246883c37d7c498edc6f7
i12-gate-sidecar__generation_s__agentic__none__r2,generation_s__agentic__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i12-gate-sidecar/runs/i12-gate-sidecar__generation_s__agentic__none__r2/submission-1/evaluation/report.json,f7f47ba6b8118eaf87483429f7f987d8cc828d120e36ddccfede16979cbaca8b,8708508eeff685c10ed81a95f957738234e546e1f14246883c37d7c498edc6f7
i12-gate-sidecar__generation_s__agentic__none__r2,generation_s__agentic__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i12-gate-sidecar/runs/i12-gate-sidecar__generation_s__agentic__none__r2/submission-1/evaluation/report.json,f7f47ba6b8118eaf87483429f7f987d8cc828d120e36ddccfede16979cbaca8b,8708508eeff685c10ed81a95f957738234e546e1f14246883c37d7c498edc6f7
i12-gate-sidecar__generation_s__agentic__none__r2,generation_s__agentic__none,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i12-gate-sidecar/runs/i12-gate-sidecar__generation_s__agentic__none__r2/submission-1/evaluation/report.json,f7f47ba6b8118eaf87483429f7f987d8cc828d120e36ddccfede16979cbaca8b,8708508eeff685c10ed81a95f957738234e546e1f14246883c37d7c498edc6f7
i12-gate-sidecar__generation_s__agentic__none__r3,generation_s__agentic__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i12-gate-sidecar/runs/i12-gate-sidecar__generation_s__agentic__none__r3/submission-1/evaluation/report.json,cd27b678f6f8897abf34e8085e4997e8bc111e4e19863b61096cb4a589afa922,16443fe0905c8a72ae5f5ce5f5467e80b1dc3e87276a83963a0cf5d13bfad977
