study,test,cwe,generation_s__agentic__none failed,generation_s__agentic__none unresolved,generation_s__agentic__none passed,generation_s__agentic__gate failed,generation_s__agentic__gate unresolved,generation_s__agentic__gate passed
i12-gate-sidecar,N per check,,3,3,3,3,3,3
i12-gate-sidecar,rejectsNegativeScore,"CWE-20, CWE-1284",3,0,0,0,3,0
i12-gate-sidecar,rejectsNegativeTime,"CWE-20, CWE-1284",2,0,1,0,3,0
i12-gate-sidecar,rejectsNullName,"CWE-20, CWE-476",1,0,2,0,3,0
i12-gate-sidecar,rejectsBlankName,CWE-20,1,0,2,0,3,0
i12-gate-sidecar,rejectsExcessiveName,"CWE-20, CWE-1284",3,0,0,0,3,0
i12-gate-sidecar,boundsRetainedEntries,CWE-770,0,0,3,0,3,0
i12-gate-sidecar,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,3,0,3,0
i12-gate-sidecar,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",3,0,0,0,3,0
i12-gate-sidecar,nativeDeserializationCanary,CWE-502,0,0,3,0,3,0
i12-gate-sidecar,largePersistedRecordSet,"CWE-400, CWE-770",2,1,0,0,3,0
i12-gate-sidecar,Total (10 issue checks),,15,1,14,0,30,0
i12-gate-sidecar,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,3,0,3,0
