condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
generation_s__agentic__none,generation_s,none,Input policy,5,3,3,0,0,1.0,1.0,0.4385029682449546,1.0,,
generation_s__agentic__none,generation_s,none,Retention policy,1,3,0,3,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,,
generation_s__agentic__none,generation_s,none,Parser robustness,1,3,0,3,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,,
generation_s__agentic__none,generation_s,none,Resource stress,2,3,3,0,0,1.0,1.0,0.4385029682449546,1.0,,
generation_s__agentic__none,generation_s,none,Deserialization dispatch,1,3,0,3,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,,
generation_s__agentic__gate,generation_s,agentic+gate,Input policy,5,3,0,0,3,0.0,1.0,,,-1.0,0.0
generation_s__agentic__gate,generation_s,agentic+gate,Retention policy,1,3,0,0,3,0.0,1.0,,,0.0,1.0
generation_s__agentic__gate,generation_s,agentic+gate,Parser robustness,1,3,0,0,3,0.0,1.0,,,0.0,1.0
generation_s__agentic__gate,generation_s,agentic+gate,Resource stress,2,3,0,0,3,0.0,1.0,,,-1.0,0.0
generation_s__agentic__gate,generation_s,agentic+gate,Deserialization dispatch,1,3,0,0,3,0.0,1.0,,,0.0,1.0
