parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,agentic+gate,rejectsNegativeScore,Input policy,3,3,0,0,0,3,,unresolved
generation_s,agentic+gate,rejectsNegativeTime,Input policy,2,3,0,0,0,3,,unresolved
generation_s,agentic+gate,rejectsNullName,Input policy,1,3,0,0,0,3,,unresolved
generation_s,agentic+gate,rejectsBlankName,Input policy,1,3,0,0,0,3,,unresolved
generation_s,agentic+gate,rejectsExcessiveName,Input policy,3,3,0,0,0,3,,unresolved
generation_s,agentic+gate,boundsRetainedEntries,Retention policy,0,3,0,0,0,3,,unresolved
generation_s,agentic+gate,malformedStoreDoesNotCrash,Parser robustness,0,3,0,0,0,3,,unresolved
generation_s,agentic+gate,oversizedPhysicalLine,Resource stress,3,3,0,0,0,3,,unresolved
generation_s,agentic+gate,nativeDeserializationCanary,Deserialization dispatch,0,3,0,0,0,3,,unresolved
generation_s,agentic+gate,largePersistedRecordSet,Resource stress,2,2,1,0,0,3,,unresolved
