runId,condition,test,category,detail,report,reportSha256,responseSha256
i13-shadow-gate__generation_s__agentic__gate__r1,generation_s__agentic__gate,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r1/submission-3/evaluation/report.json,4a5ecb3f585dc4d63626549ee909c1f8e3e764cf282693bc67837488aefe2713,dbf36272b59079c9667c4560ff75bffade0930ad6a318042966d29e470dd13e5
i13-shadow-gate__generation_s__agentic__gate__r1,generation_s__agentic__gate,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r1/submission-3/evaluation/report.json,4a5ecb3f585dc4d63626549ee909c1f8e3e764cf282693bc67837488aefe2713,dbf36272b59079c9667c4560ff75bffade0930ad6a318042966d29e470dd13e5
i13-shadow-gate__generation_s__agentic__gate__r1,generation_s__agentic__gate,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r1/submission-3/evaluation/report.json,4a5ecb3f585dc4d63626549ee909c1f8e3e764cf282693bc67837488aefe2713,dbf36272b59079c9667c4560ff75bffade0930ad6a318042966d29e470dd13e5
i13-shadow-gate__generation_s__agentic__gate__r1,generation_s__agentic__gate,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r1/submission-3/evaluation/report.json,4a5ecb3f585dc4d63626549ee909c1f8e3e764cf282693bc67837488aefe2713,dbf36272b59079c9667c4560ff75bffade0930ad6a318042966d29e470dd13e5
i13-shadow-gate__generation_s__agentic__gate__r1,generation_s__agentic__gate,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r1/submission-3/evaluation/report.json,4a5ecb3f585dc4d63626549ee909c1f8e3e764cf282693bc67837488aefe2713,dbf36272b59079c9667c4560ff75bffade0930ad6a318042966d29e470dd13e5
i13-shadow-gate__generation_s__agentic__gate__r1,generation_s__agentic__gate,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r1/submission-3/evaluation/report.json,4a5ecb3f585dc4d63626549ee909c1f8e3e764cf282693bc67837488aefe2713,dbf36272b59079c9667c4560ff75bffade0930ad6a318042966d29e470dd13e5
i13-shadow-gate__generation_s__agentic__gate__r1,generation_s__agentic__gate,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r1/submission-3/evaluation/report.json,4a5ecb3f585dc4d63626549ee909c1f8e3e764cf282693bc67837488aefe2713,dbf36272b59079c9667c4560ff75bffade0930ad6a318042966d29e470dd13e5
i13-shadow-gate__generation_s__agentic__gate__r2,generation_s__agentic__gate,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r2/submission-1/evaluation/report.json,cd7a0a3b46ff1605d2029282ecfa33c579754f8025f704a5349b8231d11a3bc4,0c655b5a1120c848d9a140146130e8ebd9d51450d032472dad9856a49f1fa9ed
i13-shadow-gate__generation_s__agentic__gate__r2,generation_s__agentic__gate,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r2/submission-1/evaluation/report.json,cd7a0a3b46ff1605d2029282ecfa33c579754f8025f704a5349b8231d11a3bc4,0c655b5a1120c848d9a140146130e8ebd9d51450d032472dad9856a49f1fa9ed
i13-shadow-gate__generation_s__agentic__gate__r2,generation_s__agentic__gate,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r2/submission-1/evaluation/report.json,cd7a0a3b46ff1605d2029282ecfa33c579754f8025f704a5349b8231d11a3bc4,0c655b5a1120c848d9a140146130e8ebd9d51450d032472dad9856a49f1fa9ed
i13-shadow-gate__generation_s__agentic__gate__r2,generation_s__agentic__gate,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r2/submission-1/evaluation/report.json,cd7a0a3b46ff1605d2029282ecfa33c579754f8025f704a5349b8231d11a3bc4,0c655b5a1120c848d9a140146130e8ebd9d51450d032472dad9856a49f1fa9ed
i13-shadow-gate__generation_s__agentic__gate__r2,generation_s__agentic__gate,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r2/submission-1/evaluation/report.json,cd7a0a3b46ff1605d2029282ecfa33c579754f8025f704a5349b8231d11a3bc4,0c655b5a1120c848d9a140146130e8ebd9d51450d032472dad9856a49f1fa9ed
i13-shadow-gate__generation_s__agentic__gate__r2,generation_s__agentic__gate,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r2/submission-1/evaluation/report.json,cd7a0a3b46ff1605d2029282ecfa33c579754f8025f704a5349b8231d11a3bc4,0c655b5a1120c848d9a140146130e8ebd9d51450d032472dad9856a49f1fa9ed
i13-shadow-gate__generation_s__agentic__gate__r2,generation_s__agentic__gate,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r2/submission-1/evaluation/report.json,cd7a0a3b46ff1605d2029282ecfa33c579754f8025f704a5349b8231d11a3bc4,0c655b5a1120c848d9a140146130e8ebd9d51450d032472dad9856a49f1fa9ed
i13-shadow-gate__generation_s__agentic__gate__r3,generation_s__agentic__gate,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r3/submission-2/evaluation/report.json,2c78549c229da2a255c665268a1b0d0314c22cb718254582bc5f5bcc111e4861,a08e68ed083dee11abf93b35aea42c62cc5d5497b99c72147f93b9013a0eccab
i13-shadow-gate__generation_s__agentic__gate__r3,generation_s__agentic__gate,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r3/submission-2/evaluation/report.json,2c78549c229da2a255c665268a1b0d0314c22cb718254582bc5f5bcc111e4861,a08e68ed083dee11abf93b35aea42c62cc5d5497b99c72147f93b9013a0eccab
i13-shadow-gate__generation_s__agentic__gate__r3,generation_s__agentic__gate,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r3/submission-2/evaluation/report.json,2c78549c229da2a255c665268a1b0d0314c22cb718254582bc5f5bcc111e4861,a08e68ed083dee11abf93b35aea42c62cc5d5497b99c72147f93b9013a0eccab
i13-shadow-gate__generation_s__agentic__gate__r3,generation_s__agentic__gate,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r3/submission-2/evaluation/report.json,2c78549c229da2a255c665268a1b0d0314c22cb718254582bc5f5bcc111e4861,a08e68ed083dee11abf93b35aea42c62cc5d5497b99c72147f93b9013a0eccab
i13-shadow-gate__generation_s__agentic__gate__r3,generation_s__agentic__gate,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r3/submission-2/evaluation/report.json,2c78549c229da2a255c665268a1b0d0314c22cb718254582bc5f5bcc111e4861,a08e68ed083dee11abf93b35aea42c62cc5d5497b99c72147f93b9013a0eccab
i13-shadow-gate__generation_s__agentic__gate__r3,generation_s__agentic__gate,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i13-shadow-gate/runs/i13-shadow-gate__generation_s__agentic__gate__r3/submission-2/evaluation/report.json,2c78549c229da2a255c665268a1b0d0314c22cb718254582bc5f5bcc111e4861,a08e68ed083dee11abf93b35aea42c62cc5d5497b99c72147f93b9013a0eccab
