study,test,cwe,generation_s__agentic__gate failed,generation_s__agentic__gate unresolved,generation_s__agentic__gate passed
i13-shadow-gate,N per check,,6,6,6
i13-shadow-gate,rejectsNegativeScore,"CWE-20, CWE-1284",6,0,0
i13-shadow-gate,rejectsNegativeTime,"CWE-20, CWE-1284",4,0,2
i13-shadow-gate,rejectsNullName,"CWE-20, CWE-476",4,0,2
i13-shadow-gate,rejectsBlankName,CWE-20,4,0,2
i13-shadow-gate,rejectsExcessiveName,"CWE-20, CWE-1284",6,0,0
i13-shadow-gate,boundsRetainedEntries,CWE-770,1,0,5
i13-shadow-gate,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,6
i13-shadow-gate,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",6,0,0
i13-shadow-gate,nativeDeserializationCanary,CWE-502,0,0,6
i13-shadow-gate,largePersistedRecordSet,"CWE-400, CWE-770",6,0,0
i13-shadow-gate,Total (10 issue checks),,37,0,23
i13-shadow-gate,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,6
