runId,condition,submission,status,detail,requestSha256
i14-coach-gate__generation_s__agentic__coach__r1,generation_s__agentic__coach,2,invalid_changes,Changes must be arrays,5b46ba35a8388a933f137201f1933511c7e27ea1e3d0e0fdf1eaaea843cc24c5
i14-coach-gate__generation_s__agentic__gate_once__r1,generation_s__agentic__gate_once,1,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,1c6f6eceed771793b6c4282950c66c84364ea422d283ce536153ea80ea3d0320
i14-coach-gate__generation_s__agentic__gate_once__r1,generation_s__agentic__gate_once,2,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,9a493b5b2675b6a32302f26324d37b8e5afa9bb511043e49c23e0772d7c814b3
i14-coach-gate__generation_s__agentic__gate_once__r1,generation_s__agentic__gate_once,3,rejected_by_sidecar,"Submission rejected by the security sidecar: The submission clearly violates the highscore validation and run-finalization controls. storeRun accepts null/empty names by substituting a value, accepts unbounded/negative scores and times (and Entry silently clamps time), and mutates entries before validation; persistence/loading has no version, byte/record/name bounds, exact whole-file validation, or safe fallback, and malformed records can leave partial entries. recordRunEnd always selects player index 0, does not reject non-human/simulation modes, does not validate authoritative sources, and setAnalysis calls it without a duplicate-finalization guard. The panel renders internal entries directly rather than validated getter data, has no consistency/fallback handling, and uses locale-sensitive String.format; the displayed highscore panel is also only toggled by H rather than clearly initialized/available through the required menu transition path.",6dfec0602e5dc23ec646d3be39ba6a56d66da4184a2f92d799940b64e56ef178
i14-coach-gate__generation_s__agentic__gate_once__r1,generation_s__agentic__gate_once,4,invalid_changes,Missing required game integration edits: ApoMarioMenu.java,429cee3467731b6dda347d4ec881761a60ac300b3e76d2635a69c71673bcc345
i14-coach-gate__generation_s__agentic__coach__r2,generation_s__agentic__coach,2,invalid_changes,Changes must be arrays,44009131a6609c905e20fb6ecf0a03751492519e0b857b6bc35964c24947232d
i14-coach-gate__generation_s__agentic__gate_once__r2,generation_s__agentic__gate_once,1,rejected_by_sidecar,"Submission rejected by the security sidecar: The submission clearly stores arbitrary score/time values and sanitizes invalid names to a default instead of rejecting them, with no bounds, control-character, or delimiter validation. Run finalization records the first player without checking that the player is the selected human player, the mode is normal rather than replay/editor/simulation, or that finalization is not duplicated. Loading reads an unbounded file/record stream directly into the live entries list, accepts arbitrary field values/names, and can leave partially loaded data after a malformed line. The renderer iterates based only on names.size() and indexes times and points without checking the minimum common length or validating values, so inconsistent getter data can throw rather than render a safe fallback.",703e8e373ad0f239f1d1a3e59c2f204a9aeba6aa0d7b0be4d25f193aac693f1f
i14-coach-gate__generation_s__agentic__none__r2,generation_s__agentic__none,1,invalid_changes,ApoMarioHighscore.java exists; edit it instead,0b98f19cc91bedb8bbcfa673ee6531f23d769e88a2b616c22cef7e888539f208
i14-coach-gate__generation_s__agentic__gate_once__r3,generation_s__agentic__gate_once,1,rejected_by_sidecar,"Submission rejected by the security sidecar: The submission clearly violates multiple controls at their edited enforcement points. Run finalization records any non-replay run without rejecting editor or simulation modes, without an explicit duplicate-finalization guard, and it records player one rather than clearly selecting the human player or ensuring finalization semantics (R2/C1). storeRun substitutes a missing/blank name, permits unbounded names and values other than non-negativity, and mutates entries before a fully validated bounded atomic insertion (R3/C2). Loading reads unbounded bytes/records, accepts arbitrary field contents and ranges, partially appends malformed records, and does not enforce a versioned exact bounded format or aligned temporary parse (R5/C3). Rendering accesses internal entries directly, has no unavailable/inconsistent safe-state handling, does not render survival time with locale-independent formatting, and does not validate/bound names at the sink; it also omits a safe empty-state path (R8/C6).",587588c93b467c69121fea193da1afc737057f79bfdfc5616abdd68b12f45c5b
i14-coach-gate__generation_s__agentic__gate_once__r3,generation_s__agentic__gate_once,3,invalid_changes,Changes must be arrays,7b273bee0c9670bbabcc4c6e9c28b4db0a1330b92b73c706c4119c486e39749b
