runId,condition,test,category,detail,report,reportSha256,responseSha256
i14-coach-gate__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i14-coach-gate/runs/i14-coach-gate__generation_s__agentic__none__r1/submission-1/evaluation/report.json,2c896b6d0d6ced0060c7b181ab34384b68161dd1f1b99cf72b582d8baf0f9f64,95122af85148b6f6e9b64a51e69937df96dcbe6cc336c84b2fd03b942d0b2ee5
i14-coach-gate__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i14-coach-gate/runs/i14-coach-gate__generation_s__agentic__none__r1/submission-1/evaluation/report.json,2c896b6d0d6ced0060c7b181ab34384b68161dd1f1b99cf72b582d8baf0f9f64,95122af85148b6f6e9b64a51e69937df96dcbe6cc336c84b2fd03b942d0b2ee5
i14-coach-gate__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i14-coach-gate/runs/i14-coach-gate__generation_s__agentic__none__r1/submission-1/evaluation/report.json,2c896b6d0d6ced0060c7b181ab34384b68161dd1f1b99cf72b582d8baf0f9f64,95122af85148b6f6e9b64a51e69937df96dcbe6cc336c84b2fd03b942d0b2ee5
i14-coach-gate__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i14-coach-gate/runs/i14-coach-gate__generation_s__agentic__none__r1/submission-1/evaluation/report.json,2c896b6d0d6ced0060c7b181ab34384b68161dd1f1b99cf72b582d8baf0f9f64,95122af85148b6f6e9b64a51e69937df96dcbe6cc336c84b2fd03b942d0b2ee5
i14-coach-gate__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i14-coach-gate/runs/i14-coach-gate__generation_s__agentic__none__r1/submission-1/evaluation/report.json,2c896b6d0d6ced0060c7b181ab34384b68161dd1f1b99cf72b582d8baf0f9f64,95122af85148b6f6e9b64a51e69937df96dcbe6cc336c84b2fd03b942d0b2ee5
i14-coach-gate__generation_s__agentic__none__r1,generation_s__agentic__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i14-coach-gate/runs/i14-coach-gate__generation_s__agentic__none__r1/submission-1/evaluation/report.json,2c896b6d0d6ced0060c7b181ab34384b68161dd1f1b99cf72b582d8baf0f9f64,95122af85148b6f6e9b64a51e69937df96dcbe6cc336c84b2fd03b942d0b2ee5
i14-coach-gate__generation_s__agentic__coach__r1,generation_s__agentic__coach,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i14-coach-gate/runs/i14-coach-gate__generation_s__agentic__coach__r1/submission-3/evaluation/report.json,e22c94665772138468a6c66e1b8c098684647158bc6b6698640ff8712a14ec82,6771aed62f838639c7e372f4de3b039cb401c6acd7037573177243d1d0059fc9
i14-coach-gate__generation_s__agentic__coach__r1,generation_s__agentic__coach,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i14-coach-gate/runs/i14-coach-gate__generation_s__agentic__coach__r1/submission-3/evaluation/report.json,e22c94665772138468a6c66e1b8c098684647158bc6b6698640ff8712a14ec82,6771aed62f838639c7e372f4de3b039cb401c6acd7037573177243d1d0059fc9
i14-coach-gate__generation_s__agentic__coach__r1,generation_s__agentic__coach,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i14-coach-gate/runs/i14-coach-gate__generation_s__agentic__coach__r1/submission-3/evaluation/report.json,e22c94665772138468a6c66e1b8c098684647158bc6b6698640ff8712a14ec82,6771aed62f838639c7e372f4de3b039cb401c6acd7037573177243d1d0059fc9
i14-coach-gate__generation_s__agentic__coach__r1,generation_s__agentic__coach,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i14-coach-gate/runs/i14-coach-gate__generation_s__agentic__coach__r1/submission-3/evaluation/report.json,e22c94665772138468a6c66e1b8c098684647158bc6b6698640ff8712a14ec82,6771aed62f838639c7e372f4de3b039cb401c6acd7037573177243d1d0059fc9
