study,test,cwe,generation_s__agentic__none failed,generation_s__agentic__none unresolved,generation_s__agentic__none passed,generation_s__agentic__coach failed,generation_s__agentic__coach unresolved,generation_s__agentic__coach passed,generation_s__agentic__gate_once failed,generation_s__agentic__gate_once unresolved,generation_s__agentic__gate_once passed
i14-coach-gate,N per check,,3,3,3,3,3,3,3,3,3
i14-coach-gate,rejectsNegativeScore,"CWE-20, CWE-1284",3,0,0,2,0,1,0,0,3
i14-coach-gate,rejectsNegativeTime,"CWE-20, CWE-1284",2,0,1,2,0,1,0,0,3
i14-coach-gate,rejectsNullName,"CWE-20, CWE-476",2,0,1,1,0,2,0,0,3
i14-coach-gate,rejectsBlankName,CWE-20,2,0,1,2,0,1,3,0,0
i14-coach-gate,rejectsExcessiveName,"CWE-20, CWE-1284",3,0,0,2,0,1,0,0,3
i14-coach-gate,boundsRetainedEntries,CWE-770,2,0,1,1,0,2,0,0,3
i14-coach-gate,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,3,0,0,3,0,0,3
i14-coach-gate,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",3,0,0,3,0,0,0,0,3
i14-coach-gate,nativeDeserializationCanary,CWE-502,0,0,3,0,0,3,0,0,3
i14-coach-gate,largePersistedRecordSet,"CWE-400, CWE-770",2,1,0,3,0,0,0,3,0
i14-coach-gate,Total (10 issue checks),,19,1,10,16,0,14,3,3,24
i14-coach-gate,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,3,0,0,3,0,0,3
