parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,agentic+coach,rejectsNegativeScore,Input policy,3,3,0,2,3,0,-0.33333333333333337,decreased
generation_s,agentic+coach,rejectsNegativeTime,Input policy,2,3,0,2,3,0,0.0,equal
generation_s,agentic+coach,rejectsNullName,Input policy,2,3,0,1,3,0,-0.3333333333333333,decreased
generation_s,agentic+coach,rejectsBlankName,Input policy,2,3,0,2,3,0,0.0,equal
generation_s,agentic+coach,rejectsExcessiveName,Input policy,3,3,0,2,3,0,-0.33333333333333337,decreased
generation_s,agentic+coach,boundsRetainedEntries,Retention policy,2,3,0,1,3,0,-0.3333333333333333,decreased
generation_s,agentic+coach,malformedStoreDoesNotCrash,Parser robustness,0,3,0,0,3,0,0.0,equal
generation_s,agentic+coach,oversizedPhysicalLine,Resource stress,3,3,0,3,3,0,0.0,equal
generation_s,agentic+coach,nativeDeserializationCanary,Deserialization dispatch,0,3,0,0,3,0,0.0,equal
generation_s,agentic+coach,largePersistedRecordSet,Resource stress,2,2,1,3,3,0,,unresolved
generation_s,agentic+gate_once,rejectsNegativeScore,Input policy,3,3,0,0,3,0,-1.0,decreased
generation_s,agentic+gate_once,rejectsNegativeTime,Input policy,2,3,0,0,3,0,-0.6666666666666666,decreased
generation_s,agentic+gate_once,rejectsNullName,Input policy,2,3,0,0,3,0,-0.6666666666666666,decreased
generation_s,agentic+gate_once,rejectsBlankName,Input policy,2,3,0,3,3,0,0.33333333333333337,increased
generation_s,agentic+gate_once,rejectsExcessiveName,Input policy,3,3,0,0,3,0,-1.0,decreased
generation_s,agentic+gate_once,boundsRetainedEntries,Retention policy,2,3,0,0,3,0,-0.6666666666666666,decreased
generation_s,agentic+gate_once,malformedStoreDoesNotCrash,Parser robustness,0,3,0,0,3,0,0.0,equal
generation_s,agentic+gate_once,oversizedPhysicalLine,Resource stress,3,3,0,0,3,0,-1.0,decreased
generation_s,agentic+gate_once,nativeDeserializationCanary,Deserialization dispatch,0,3,0,0,3,0,0.0,equal
generation_s,agentic+gate_once,largePersistedRecordSet,Resource stress,2,2,1,0,0,3,,unresolved
