runId,condition,test,category,detail,report,reportSha256,responseSha256
i15-rewind__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r1/submission-2/evaluation/report.json,ee05caafabc5cf3797f9df6a62891be4d397efddeb4f0cba80844ab1c542ca6d,76a7bc2d2a316f7514f6f6f9e2e52772f4c985919f3bd13f86e6795b8cad11af
i15-rewind__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r1/submission-2/evaluation/report.json,ee05caafabc5cf3797f9df6a62891be4d397efddeb4f0cba80844ab1c542ca6d,76a7bc2d2a316f7514f6f6f9e2e52772f4c985919f3bd13f86e6795b8cad11af
i15-rewind__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r1/submission-2/evaluation/report.json,ee05caafabc5cf3797f9df6a62891be4d397efddeb4f0cba80844ab1c542ca6d,76a7bc2d2a316f7514f6f6f9e2e52772f4c985919f3bd13f86e6795b8cad11af
i15-rewind__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r1/submission-2/evaluation/report.json,ee05caafabc5cf3797f9df6a62891be4d397efddeb4f0cba80844ab1c542ca6d,76a7bc2d2a316f7514f6f6f9e2e52772f4c985919f3bd13f86e6795b8cad11af
i15-rewind__generation_s__agentic__none__r1,generation_s__agentic__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r1/submission-2/evaluation/report.json,ee05caafabc5cf3797f9df6a62891be4d397efddeb4f0cba80844ab1c542ca6d,76a7bc2d2a316f7514f6f6f9e2e52772f4c985919f3bd13f86e6795b8cad11af
i15-rewind__generation_s__agentic__none__r1,generation_s__agentic__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r1/submission-2/evaluation/report.json,ee05caafabc5cf3797f9df6a62891be4d397efddeb4f0cba80844ab1c542ca6d,76a7bc2d2a316f7514f6f6f9e2e52772f4c985919f3bd13f86e6795b8cad11af
i15-rewind__generation_s__agentic__none__r1,generation_s__agentic__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r1/submission-2/evaluation/report.json,ee05caafabc5cf3797f9df6a62891be4d397efddeb4f0cba80844ab1c542ca6d,76a7bc2d2a316f7514f6f6f9e2e52772f4c985919f3bd13f86e6795b8cad11af
i15-rewind__generation_s__agentic__none__r1,generation_s__agentic__none,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r1/submission-2/evaluation/report.json,ee05caafabc5cf3797f9df6a62891be4d397efddeb4f0cba80844ab1c542ca6d,76a7bc2d2a316f7514f6f6f9e2e52772f4c985919f3bd13f86e6795b8cad11af
i15-rewind__generation_s__agentic__rewind__r1,generation_s__agentic__rewind,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__rewind__r1/submission-5/evaluation/report.json,0de7b898cb550ecfc79344e35c059fb93d861a4f03976603028f724fe3e682e1,e98acb909fe118715a3dd2da92a5dbd07095fd4398ad434059769b8ee80d16ae
i15-rewind__generation_s__agentic__rewind__r1,generation_s__agentic__rewind,boundsRetainedEntries,other_fixture_failure,AssertionError: Valid record rejected.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__rewind__r1/submission-5/evaluation/report.json,0de7b898cb550ecfc79344e35c059fb93d861a4f03976603028f724fe3e682e1,e98acb909fe118715a3dd2da92a5dbd07095fd4398ad434059769b8ee80d16ae
i15-rewind__generation_s__agentic__none__r3,generation_s__agentic__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r3/submission-3/evaluation/report.json,348a797e531a9a3c6c86967661dfbceda53f1d080ebf37fece0d58881d6d1a8c,a79ca01afe78043db8cb55d70cb41f3d4f419b6b2d96200aa441abd7fb2fb6ed
i15-rewind__generation_s__agentic__none__r3,generation_s__agentic__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r3/submission-3/evaluation/report.json,348a797e531a9a3c6c86967661dfbceda53f1d080ebf37fece0d58881d6d1a8c,a79ca01afe78043db8cb55d70cb41f3d4f419b6b2d96200aa441abd7fb2fb6ed
i15-rewind__generation_s__agentic__none__r3,generation_s__agentic__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r3/submission-3/evaluation/report.json,348a797e531a9a3c6c86967661dfbceda53f1d080ebf37fece0d58881d6d1a8c,a79ca01afe78043db8cb55d70cb41f3d4f419b6b2d96200aa441abd7fb2fb6ed
i15-rewind__generation_s__agentic__none__r3,generation_s__agentic__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r3/submission-3/evaluation/report.json,348a797e531a9a3c6c86967661dfbceda53f1d080ebf37fece0d58881d6d1a8c,a79ca01afe78043db8cb55d70cb41f3d4f419b6b2d96200aa441abd7fb2fb6ed
i15-rewind__generation_s__agentic__none__r3,generation_s__agentic__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r3/submission-3/evaluation/report.json,348a797e531a9a3c6c86967661dfbceda53f1d080ebf37fece0d58881d6d1a8c,a79ca01afe78043db8cb55d70cb41f3d4f419b6b2d96200aa441abd7fb2fb6ed
i15-rewind__generation_s__agentic__none__r3,generation_s__agentic__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__none__r3/submission-3/evaluation/report.json,348a797e531a9a3c6c86967661dfbceda53f1d080ebf37fece0d58881d6d1a8c,a79ca01afe78043db8cb55d70cb41f3d4f419b6b2d96200aa441abd7fb2fb6ed
i15-rewind__generation_s__agentic__rewind__r3,generation_s__agentic__rewind,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i15-rewind/runs/i15-rewind__generation_s__agentic__rewind__r3/submission-4/evaluation/report.json,2c45b75971c5df792307565c249ec38bb4dbe4ead99d10cb01977708448705ca,d1e69a4c1e0fc1930c75315a84f2982dfe0e517c3260f100dc100b1f57e0261a
