study,test,cwe,generation_s__agentic__none failed,generation_s__agentic__none unresolved,generation_s__agentic__none passed,generation_s__agentic__rewind failed,generation_s__agentic__rewind unresolved,generation_s__agentic__rewind passed
i15-rewind,N per check,,3,3,3,3,3,3
i15-rewind,rejectsNegativeScore,"CWE-20, CWE-1284",2,1,0,0,0,3
i15-rewind,rejectsNegativeTime,"CWE-20, CWE-1284",2,1,0,0,0,3
i15-rewind,rejectsNullName,"CWE-20, CWE-476",2,1,0,0,0,3
i15-rewind,rejectsBlankName,CWE-20,2,1,0,2,0,1
i15-rewind,rejectsExcessiveName,"CWE-20, CWE-1284",2,1,0,0,0,3
i15-rewind,boundsRetainedEntries,CWE-770,1,1,1,1,0,2
i15-rewind,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,1,2,0,0,3
i15-rewind,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",2,1,0,0,0,3
i15-rewind,nativeDeserializationCanary,CWE-502,0,1,2,0,0,3
i15-rewind,largePersistedRecordSet,"CWE-400, CWE-770",1,2,0,0,3,0
i15-rewind,Total (10 issue checks),,14,11,5,3,3,24
i15-rewind,"validRecordRoundTrip (positive persistence check, not an issue)",,0,1,2,0,0,3
