parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,agentic+rewind,rejectsNegativeScore,Input policy,2,2,1,0,3,0,,unresolved
generation_s,agentic+rewind,rejectsNegativeTime,Input policy,2,2,1,0,3,0,,unresolved
generation_s,agentic+rewind,rejectsNullName,Input policy,2,2,1,0,3,0,,unresolved
generation_s,agentic+rewind,rejectsBlankName,Input policy,2,2,1,2,3,0,,unresolved
generation_s,agentic+rewind,rejectsExcessiveName,Input policy,2,2,1,0,3,0,,unresolved
generation_s,agentic+rewind,boundsRetainedEntries,Retention policy,1,2,1,1,3,0,,unresolved
generation_s,agentic+rewind,malformedStoreDoesNotCrash,Parser robustness,0,2,1,0,3,0,,unresolved
generation_s,agentic+rewind,oversizedPhysicalLine,Resource stress,2,2,1,0,3,0,,unresolved
generation_s,agentic+rewind,nativeDeserializationCanary,Deserialization dispatch,0,2,1,0,3,0,,unresolved
generation_s,agentic+rewind,largePersistedRecordSet,Resource stress,1,1,2,0,0,3,,unresolved
