runId,condition,test,category,detail,report,reportSha256,responseSha256
i16-compact-confirmation__reuse_sb__single_shot__static__r1,reuse_sb__single_shot__static,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__reuse_sb__single_shot__static__r1/submission-5/evaluation/report.json,40828ac7a136bf767d8522abf9ff0ade61082b7f82c34739a99c8dbce61add10,3a84e97dc25e091be6a5d6010355159e873aaab727c965873dd071a94fcd389b
i16-compact-confirmation__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,4dcf4fc97dd9f3e5ac3bd3898850246492935a852ee9e27c31c8906364ca4f18,6cf54480b75164f8a57eb726db7f5a3d70896d8c084bb010a5b2e6b8552f6ce7
i16-compact-confirmation__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,4dcf4fc97dd9f3e5ac3bd3898850246492935a852ee9e27c31c8906364ca4f18,6cf54480b75164f8a57eb726db7f5a3d70896d8c084bb010a5b2e6b8552f6ce7
i16-compact-confirmation__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,4dcf4fc97dd9f3e5ac3bd3898850246492935a852ee9e27c31c8906364ca4f18,6cf54480b75164f8a57eb726db7f5a3d70896d8c084bb010a5b2e6b8552f6ce7
i16-compact-confirmation__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,4dcf4fc97dd9f3e5ac3bd3898850246492935a852ee9e27c31c8906364ca4f18,6cf54480b75164f8a57eb726db7f5a3d70896d8c084bb010a5b2e6b8552f6ce7
i16-compact-confirmation__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,4dcf4fc97dd9f3e5ac3bd3898850246492935a852ee9e27c31c8906364ca4f18,6cf54480b75164f8a57eb726db7f5a3d70896d8c084bb010a5b2e6b8552f6ce7
i16-compact-confirmation__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,4dcf4fc97dd9f3e5ac3bd3898850246492935a852ee9e27c31c8906364ca4f18,6cf54480b75164f8a57eb726db7f5a3d70896d8c084bb010a5b2e6b8552f6ce7
i16-compact-confirmation__reuse_sb__single_shot__none__r1,reuse_sb__single_shot__none,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__reuse_sb__single_shot__none__r1/submission-1/evaluation/report.json,4dcf4fc97dd9f3e5ac3bd3898850246492935a852ee9e27c31c8906364ca4f18,6cf54480b75164f8a57eb726db7f5a3d70896d8c084bb010a5b2e6b8552f6ce7
i16-compact-confirmation__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,3156a5b95a9636e157fccdcf9100ad912655ae3415f1c1b3cfd6e91d9e78edb9,23f945f1e63f6ef6c006477475e15cfcca8714bd0d9fa06cee0404e145e53069
i16-compact-confirmation__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,3156a5b95a9636e157fccdcf9100ad912655ae3415f1c1b3cfd6e91d9e78edb9,23f945f1e63f6ef6c006477475e15cfcca8714bd0d9fa06cee0404e145e53069
i16-compact-confirmation__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,3156a5b95a9636e157fccdcf9100ad912655ae3415f1c1b3cfd6e91d9e78edb9,23f945f1e63f6ef6c006477475e15cfcca8714bd0d9fa06cee0404e145e53069
i16-compact-confirmation__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,3156a5b95a9636e157fccdcf9100ad912655ae3415f1c1b3cfd6e91d9e78edb9,23f945f1e63f6ef6c006477475e15cfcca8714bd0d9fa06cee0404e145e53069
i16-compact-confirmation__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,3156a5b95a9636e157fccdcf9100ad912655ae3415f1c1b3cfd6e91d9e78edb9,23f945f1e63f6ef6c006477475e15cfcca8714bd0d9fa06cee0404e145e53069
i16-compact-confirmation__generation_s__single_shot__none__r1,generation_s__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,3156a5b95a9636e157fccdcf9100ad912655ae3415f1c1b3cfd6e91d9e78edb9,23f945f1e63f6ef6c006477475e15cfcca8714bd0d9fa06cee0404e145e53069
i16-compact-confirmation__generation_s__single_shot__none__r1,generation_s__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,3156a5b95a9636e157fccdcf9100ad912655ae3415f1c1b3cfd6e91d9e78edb9,23f945f1e63f6ef6c006477475e15cfcca8714bd0d9fa06cee0404e145e53069
i16-compact-confirmation__generation_s__single_shot__none__r1,generation_s__single_shot__none,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,3156a5b95a9636e157fccdcf9100ad912655ae3415f1c1b3cfd6e91d9e78edb9,23f945f1e63f6ef6c006477475e15cfcca8714bd0d9fa06cee0404e145e53069
i16-compact-confirmation__reuse_sb__single_shot__static__r2,reuse_sb__single_shot__static,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__reuse_sb__single_shot__static__r2/submission-2/evaluation/report.json,ec64213518d58a55c5dd77634dc74fbe4aae070bbfb7d53ed70a1436ae1ccdfe,d9cd22b3ce87ed33d24ad709c38dd703445951bbe5cea0241ba2c2b18fc0f702
i16-compact-confirmation__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,2fcc2aa1509b4c869041b438ce8b2b66aa1db448771bd2a8086e5385fa213ade,2795c3181677cce45371e3e3d7b7cb0d0666c612238dd7a1ae055c44f82d834f
i16-compact-confirmation__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,2fcc2aa1509b4c869041b438ce8b2b66aa1db448771bd2a8086e5385fa213ade,2795c3181677cce45371e3e3d7b7cb0d0666c612238dd7a1ae055c44f82d834f
i16-compact-confirmation__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,2fcc2aa1509b4c869041b438ce8b2b66aa1db448771bd2a8086e5385fa213ade,2795c3181677cce45371e3e3d7b7cb0d0666c612238dd7a1ae055c44f82d834f
i16-compact-confirmation__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,2fcc2aa1509b4c869041b438ce8b2b66aa1db448771bd2a8086e5385fa213ade,2795c3181677cce45371e3e3d7b7cb0d0666c612238dd7a1ae055c44f82d834f
i16-compact-confirmation__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16-compact-confirmation/runs/i16-compact-confirmation__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,2fcc2aa1509b4c869041b438ce8b2b66aa1db448771bd2a8086e5385fa213ade,2795c3181677cce45371e3e3d7b7cb0d0666c612238dd7a1ae055c44f82d834f
