runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i16-compact-confirmation__generation_s__single_shot__none__r1,generation_s__single_shot__none,1,completed,True,2,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:50: String name = playerName == null ? ""Unknown"" : playerName.trim(); | ApoMarioHighscore.java:51: if (name.length() == 0) name = ""Unknown""; | ApoMarioHighscore.java:87: String name = player.getTeamName(); | ApoMarioHighscore.java:88: if (name == null || name.trim().length() == 0) name = ""Player"";"
i16-compact-confirmation__generation_s__single_shot__none__r2,generation_s__single_shot__none,2,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:42: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:91: String name = player.getTeamName(); | ApoMarioHighscore.java:93: if (name == null || name.trim().length() == 0) name = ""Player"";"
i16-compact-confirmation__generation_s__single_shot__none__r3,generation_s__single_shot__none,3,completed,True,1,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:93: String name = player.getTeamName(); | ApoMarioHighscore.java:94: if (name == null || name.trim().length() == 0) name = ""Player"";"
i16-compact-confirmation__generation_s__single_shot__none__r4,generation_s__single_shot__none,4,completed,True,3,pass,fallback,fail,recorded,0,,"ApoMarioPanel.java:232: String name = best.getTeamName(); | ApoMarioPanel.java:233: if (name == null || name.trim().length() == 0) name = ""Player""; | ApoMarioHighscore.java:29: String name = playerName == null ? ""Unknown"" : playerName.trim(); | ApoMarioHighscore.java:30: if (name.length() == 0) name = ""Unknown""; | ApoMarioHighscore.java:57: String name = best.getTeamName(); | ApoMarioHighscore.java:58: if (name == null || name.trim().length() == 0) name = ""Player""; | ApoMarioHighscore.java:127: if (names.isEmpty()) g.drawString(""No runs recorded yet"", x + 18, row);"
i16-compact-confirmation__generation_s__single_shot__none__r5,generation_s__single_shot__none,5,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:40: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:77: String name = player.getTeamName(); | ApoMarioHighscore.java:79: if (name == null || name.trim().length() == 0) name = ""Player"";"
i16-compact-confirmation__generation_s__single_shot__static__r1,generation_s__single_shot__static,1,adapter_error,False,,,none,,none,0,,
i16-compact-confirmation__generation_s__single_shot__static__r2,generation_s__single_shot__static,2,adapter_error,False,,,none,,none,0,,
i16-compact-confirmation__generation_s__single_shot__static__r3,generation_s__single_shot__static,3,adapter_error,False,,,none,,none,0,,
i16-compact-confirmation__generation_s__single_shot__static__r4,generation_s__single_shot__static,4,adapter_error,False,,,none,,none,0,,
i16-compact-confirmation__generation_s__single_shot__static__r5,generation_s__single_shot__static,5,adapter_error,False,,,none,,none,0,,
