study,test,cwe,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,reuse_sb__single_shot__none failed,reuse_sb__single_shot__none unresolved,reuse_sb__single_shot__none passed,reuse_sb__single_shot__static failed,reuse_sb__single_shot__static unresolved,reuse_sb__single_shot__static passed
i16-compact-confirmation,N per check,,5,5,5,5,5,5,5,5,5,5,5,5
i16-compact-confirmation,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,0,5,0,5,0,0,0,0,5
i16-compact-confirmation,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,0,5,0,5,0,0,0,0,5
i16-compact-confirmation,rejectsNullName,"CWE-20, CWE-476",4,0,1,0,5,0,5,0,0,0,0,5
i16-compact-confirmation,rejectsBlankName,CWE-20,4,0,1,0,5,0,5,0,0,0,0,5
i16-compact-confirmation,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,0,5,0,5,0,0,0,0,5
i16-compact-confirmation,boundsRetainedEntries,CWE-770,4,0,1,0,5,0,0,0,5,0,0,5
i16-compact-confirmation,malformedStoreDoesNotCrash,"CWE-755, CWE-20",1,0,4,0,5,0,0,0,5,0,0,5
i16-compact-confirmation,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,0,5,0,3,0,2,2,0,3
i16-compact-confirmation,nativeDeserializationCanary,CWE-502,0,0,5,0,5,0,0,0,5,0,0,5
i16-compact-confirmation,largePersistedRecordSet,"CWE-400, CWE-770",3,2,0,0,5,0,1,4,0,0,4,1
i16-compact-confirmation,Total (10 issue checks),,36,2,12,0,50,0,29,4,17,2,4,44
i16-compact-confirmation,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,5,0,0,0,5,0,0,5
