runId,condition,test,category,detail,report,reportSha256,responseSha256
i16b-gen-compact__generation_s__single_shot__static__r1,generation_s__single_shot__static,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__static__r1/submission-5/evaluation/report.json,53be9b9a2cc3a7891e0f0a3b7c01c0f76b8b51ae7bb701c3c5902b173ca7981f,800c1682988a52e2987b78425321daf572e6e5c80f951b30d91d64d63847abaa
i16b-gen-compact__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,d60b4abc01d253ac0bd9caf0a34a8e8292b8cb292d3eba1790fff8f99fae8019,c469e1befe245729f4a718e17c85534f5d4d7f11cd6b67f6be32ca96c0d32e89
i16b-gen-compact__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,d60b4abc01d253ac0bd9caf0a34a8e8292b8cb292d3eba1790fff8f99fae8019,c469e1befe245729f4a718e17c85534f5d4d7f11cd6b67f6be32ca96c0d32e89
i16b-gen-compact__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,d60b4abc01d253ac0bd9caf0a34a8e8292b8cb292d3eba1790fff8f99fae8019,c469e1befe245729f4a718e17c85534f5d4d7f11cd6b67f6be32ca96c0d32e89
i16b-gen-compact__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,d60b4abc01d253ac0bd9caf0a34a8e8292b8cb292d3eba1790fff8f99fae8019,c469e1befe245729f4a718e17c85534f5d4d7f11cd6b67f6be32ca96c0d32e89
i16b-gen-compact__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,d60b4abc01d253ac0bd9caf0a34a8e8292b8cb292d3eba1790fff8f99fae8019,c469e1befe245729f4a718e17c85534f5d4d7f11cd6b67f6be32ca96c0d32e89
i16b-gen-compact__generation_s__single_shot__none__r1,generation_s__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,d60b4abc01d253ac0bd9caf0a34a8e8292b8cb292d3eba1790fff8f99fae8019,c469e1befe245729f4a718e17c85534f5d4d7f11cd6b67f6be32ca96c0d32e89
i16b-gen-compact__generation_s__single_shot__none__r1,generation_s__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,d60b4abc01d253ac0bd9caf0a34a8e8292b8cb292d3eba1790fff8f99fae8019,c469e1befe245729f4a718e17c85534f5d4d7f11cd6b67f6be32ca96c0d32e89
i16b-gen-compact__generation_s__single_shot__none__r1,generation_s__single_shot__none,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r1/submission-1/evaluation/report.json,d60b4abc01d253ac0bd9caf0a34a8e8292b8cb292d3eba1790fff8f99fae8019,c469e1befe245729f4a718e17c85534f5d4d7f11cd6b67f6be32ca96c0d32e89
i16b-gen-compact__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r2/submission-2/evaluation/report.json,e82934749a138ba16ad04c11c84d265766af875e89362ba03a5b2c723850abc5,f537fc92838f03514d3dacfd561a803922efa60390cce4545fe85a1d477b053d
i16b-gen-compact__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r2/submission-2/evaluation/report.json,e82934749a138ba16ad04c11c84d265766af875e89362ba03a5b2c723850abc5,f537fc92838f03514d3dacfd561a803922efa60390cce4545fe85a1d477b053d
i16b-gen-compact__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r2/submission-2/evaluation/report.json,e82934749a138ba16ad04c11c84d265766af875e89362ba03a5b2c723850abc5,f537fc92838f03514d3dacfd561a803922efa60390cce4545fe85a1d477b053d
i16b-gen-compact__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r2/submission-2/evaluation/report.json,e82934749a138ba16ad04c11c84d265766af875e89362ba03a5b2c723850abc5,f537fc92838f03514d3dacfd561a803922efa60390cce4545fe85a1d477b053d
i16b-gen-compact__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r2/submission-2/evaluation/report.json,e82934749a138ba16ad04c11c84d265766af875e89362ba03a5b2c723850abc5,f537fc92838f03514d3dacfd561a803922efa60390cce4545fe85a1d477b053d
i16b-gen-compact__generation_s__single_shot__none__r2,generation_s__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r2/submission-2/evaluation/report.json,e82934749a138ba16ad04c11c84d265766af875e89362ba03a5b2c723850abc5,f537fc92838f03514d3dacfd561a803922efa60390cce4545fe85a1d477b053d
i16b-gen-compact__generation_s__single_shot__none__r2,generation_s__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i16b-gen-compact/runs/i16b-gen-compact__generation_s__single_shot__none__r2/submission-2/evaluation/report.json,e82934749a138ba16ad04c11c84d265766af875e89362ba03a5b2c723850abc5,f537fc92838f03514d3dacfd561a803922efa60390cce4545fe85a1d477b053d
