study,test,cwe,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed
i16b-gen-compact,N per check,,5,5,5,5,5,5
i16b-gen-compact,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,0,0,5
i16b-gen-compact,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,0,0,5
i16b-gen-compact,rejectsNullName,"CWE-20, CWE-476",5,0,0,0,0,5
i16b-gen-compact,rejectsBlankName,CWE-20,5,0,0,3,0,2
i16b-gen-compact,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,0,0,5
i16b-gen-compact,boundsRetainedEntries,CWE-770,4,0,1,0,0,5
i16b-gen-compact,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5
i16b-gen-compact,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,0,0,5
i16b-gen-compact,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5
i16b-gen-compact,largePersistedRecordSet,"CWE-400, CWE-770",3,2,0,0,5,0
i16b-gen-compact,Total (10 issue checks),,37,2,11,3,5,42
i16b-gen-compact,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5
