runId,condition,test,category,detail,report,reportSha256,responseSha256
i17-nofb__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i17-nofb/runs/i17-nofb__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,00f3fba2e4768a8026050a4246ebdf69e90f8eb817b82873ae95b1a18d4cbc13,848521af4643043bcab5fbfb0f4338817b2837657f7599518f1a652f0bee8354
i17-nofb__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i17-nofb/runs/i17-nofb__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,00f3fba2e4768a8026050a4246ebdf69e90f8eb817b82873ae95b1a18d4cbc13,848521af4643043bcab5fbfb0f4338817b2837657f7599518f1a652f0bee8354
i17-nofb__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i17-nofb/runs/i17-nofb__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,00f3fba2e4768a8026050a4246ebdf69e90f8eb817b82873ae95b1a18d4cbc13,848521af4643043bcab5fbfb0f4338817b2837657f7599518f1a652f0bee8354
i17-nofb__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i17-nofb/runs/i17-nofb__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,00f3fba2e4768a8026050a4246ebdf69e90f8eb817b82873ae95b1a18d4cbc13,848521af4643043bcab5fbfb0f4338817b2837657f7599518f1a652f0bee8354
i17-nofb__generation_s__single_shot__none__r1,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i17-nofb/runs/i17-nofb__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,00f3fba2e4768a8026050a4246ebdf69e90f8eb817b82873ae95b1a18d4cbc13,848521af4643043bcab5fbfb0f4338817b2837657f7599518f1a652f0bee8354
i17-nofb__generation_s__single_shot__none__r1,generation_s__single_shot__none,boundsRetainedEntries,retention_threshold,AssertionError: More than 100 entries retained.,.local/iterations/i17-nofb/runs/i17-nofb__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,00f3fba2e4768a8026050a4246ebdf69e90f8eb817b82873ae95b1a18d4cbc13,848521af4643043bcab5fbfb0f4338817b2837657f7599518f1a652f0bee8354
i17-nofb__generation_s__single_shot__none__r1,generation_s__single_shot__none,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i17-nofb/runs/i17-nofb__generation_s__single_shot__none__r1/submission-2/evaluation/report.json,00f3fba2e4768a8026050a4246ebdf69e90f8eb817b82873ae95b1a18d4cbc13,848521af4643043bcab5fbfb0f4338817b2837657f7599518f1a652f0bee8354
i17-nofb__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i17-nofb/runs/i17-nofb__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,b77c2f5bc25a51f1d9cf77044a7ee06a0cc2bb68f15d4bb3882513e6edfaa50c,87f1c987276a0770e90166f832c3be7b61e2d3ef8d34bfbc5b23d84adc8c9067
i17-nofb__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i17-nofb/runs/i17-nofb__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,b77c2f5bc25a51f1d9cf77044a7ee06a0cc2bb68f15d4bb3882513e6edfaa50c,87f1c987276a0770e90166f832c3be7b61e2d3ef8d34bfbc5b23d84adc8c9067
i17-nofb__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i17-nofb/runs/i17-nofb__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,b77c2f5bc25a51f1d9cf77044a7ee06a0cc2bb68f15d4bb3882513e6edfaa50c,87f1c987276a0770e90166f832c3be7b61e2d3ef8d34bfbc5b23d84adc8c9067
i17-nofb__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i17-nofb/runs/i17-nofb__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,b77c2f5bc25a51f1d9cf77044a7ee06a0cc2bb68f15d4bb3882513e6edfaa50c,87f1c987276a0770e90166f832c3be7b61e2d3ef8d34bfbc5b23d84adc8c9067
i17-nofb__generation_s__single_shot__none__r2,generation_s__single_shot__none,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i17-nofb/runs/i17-nofb__generation_s__single_shot__none__r2/submission-1/evaluation/report.json,b77c2f5bc25a51f1d9cf77044a7ee06a0cc2bb68f15d4bb3882513e6edfaa50c,87f1c987276a0770e90166f832c3be7b61e2d3ef8d34bfbc5b23d84adc8c9067
