study,test,cwe,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed
i17-nofb,N per check,,5,5,5,5,5,5
i17-nofb,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,0,0,5
i17-nofb,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,0,0,5
i17-nofb,rejectsNullName,"CWE-20, CWE-476",5,0,0,0,0,5
i17-nofb,rejectsBlankName,CWE-20,5,0,0,1,0,4
i17-nofb,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,0,0,5
i17-nofb,boundsRetainedEntries,CWE-770,5,0,0,0,0,5
i17-nofb,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5
i17-nofb,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,1,0,4
i17-nofb,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5
i17-nofb,largePersistedRecordSet,"CWE-400, CWE-770",1,4,0,0,4,1
i17-nofb,Total (10 issue checks),,36,4,10,2,4,44
i17-nofb,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5
